year,num_sentences,target
1986,123,mental_health
1987,119,mental_health
1988,88,mental_health
1989,163,mental_health
1990,92,mental_health
1991,113,mental_health
1992,122,mental_health
1993,127,mental_health
1994,145,mental_health
1995,104,mental_health
1996,102,mental_health
1997,138,mental_health
1998,113,mental_health
1999,138,mental_health
2000,89,mental_health
2001,82,mental_health
2002,98,mental_health
2003,115,mental_health
2004,133,mental_health
2005,154,mental_health
2006,160,mental_health
2007,149,mental_health
2008,185,mental_health
2009,227,mental_health
2010,234,mental_health
2011,256,mental_health
2012,320,mental_health
2013,338,mental_health
2014,352,mental_health
2015,362,mental_health
2016,440,mental_health
2017,337,mental_health
2018,358,mental_health
2019,3,mental_health
1970,5,mental_illness
1971,6,mental_illness
1972,1,mental_illness
1973,7,mental_illness
1975,6,mental_illness
1976,11,mental_illness
1977,17,mental_illness
1978,8,mental_illness
1979,10,mental_illness
1980,15,mental_illness
1981,12,mental_illness
1982,5,mental_illness
1983,11,mental_illness
1984,11,mental_illness
1985,17,mental_illness
1986,5,mental_illness
1987,8,mental_illness
1988,11,mental_illness
1989,14,mental_illness
1990,22,mental_illness
1991,16,mental_illness
1992,30,mental_illness
1993,24,mental_illness
1994,22,mental_illness
1995,36,mental_illness
1996,33,mental_illness
1997,47,mental_illness
1998,60,mental_illness
1999,47,mental_illness
2000,52,mental_illness
2001,45,mental_illness
2002,65,mental_illness
2003,80,mental_illness
2004,94,mental_illness
2005,51,mental_illness
2006,111,mental_illness
2007,106,mental_illness
2008,113,mental_illness
2009,122,mental_illness
2010,74,mental_illness
2011,90,mental_illness
2012,97,mental_illness
2013,133,mental_illness
2014,138,mental_illness
2015,153,mental_illness
2016,196,mental_illness
2017,131,mental_illness
2018,123,mental_illness
2019,6,mental_illness
1971,5,trauma
1972,3,trauma
1973,1,trauma
1974,3,trauma
1976,2,trauma
1979,9,trauma
1980,12,trauma
1981,11,trauma
1982,12,trauma
1983,13,trauma
1984,16,trauma
1985,19,trauma
1986,24,trauma
1987,28,trauma
1988,25,trauma
1989,22,trauma
1990,49,trauma
1991,44,trauma
1992,62,trauma
1993,55,trauma
1994,97,trauma
1995,95,trauma
1996,107,trauma
1997,87,trauma
1998,111,trauma
1999,118,trauma
2000,86,trauma
2001,95,trauma
2002,96,trauma
2003,102,trauma
2004,147,trauma
2005,146,trauma
2006,163,trauma
2007,195,trauma
2008,183,trauma
2009,201,trauma
2010,98,trauma
2011,143,trauma
2012,145,trauma
2013,176,trauma
2014,173,trauma
2015,211,trauma
2016,253,trauma
2017,202,trauma
2018,164,trauma
2019,3,trauma
