target,synset,definition,sibling,sibling_definition,lin_similarity,cosine_similarity,note
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,hallucinosis.n.01,a mental state in which the person has continual hallucinations,1.0522160474764297,0.8914152,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",2.0884900818399026,0.91466725,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,hypnosis.n.01,a state that resembles sleep but that is induced by suggestion,1.4350431197091447,0.8280692,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,anhedonia.n.01,an inability to experience pleasure,1.3422051269278301,0.83527696,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,agitation.n.01,a mental state of extreme emotional disturbance,1.3227764261621393,0.8925418,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,1.6077097333352635,0.88013446,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,delusion.n.01,(psychology) an erroneous belief that is held in the face of evidence to the contrary,1.4254866871204892,0.9004732,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,depersonalization.n.02,(existentialism) a loss of personal identity; a feeling of being an anonymous cog in an impersonal social machine,1.319988979899252,0.92190534,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,fugue.n.02,a dreamlike state of altered consciousness that may last for hours or days,1.067386427397746,0.86161506,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,irritation.n.01,the psychological state of being irritated or annoyed,1.2673829416632707,0.85202914,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,cognitive_state.n.01,the state of a person's cognitive processes,1.2155991608464356,0.8514545,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,nervousness.n.02,an uneasy psychological state,1.2489091349895742,0.8417158,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,trauma.n.02,an emotional wound or shock often having long-lasting effects,1.7083808729009125,0.8446177,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,dissociation.n.02,a state in which some integrated part of a person's life becomes separated from the rest of the personality and functions independently,1.5647477065292787,0.88727266,
depression,depression.n.04,sad feelings of gloom and inadequacy,heaviness.n.02,persisting sadness,1.1524264900175591,0.77130145,
depression,depression.n.04,sad feelings of gloom and inadequacy,weepiness.n.01,sadness expressed by weeping,1.0237084513806527,0.82823044,
depression,depression.n.04,sad feelings of gloom and inadequacy,melancholy.n.01,a feeling of thoughtful sadness,1.063860669055523,0.8714858,
depression,depression.n.04,sad feelings of gloom and inadequacy,misery.n.02,a feeling of intense unhappiness,1.0977023672561403,0.8929427,
depression,depression.n.04,sad feelings of gloom and inadequacy,downheartedness.n.01,a feeling of low spirits,0.9291538196727221,0.87547743,
depression,depression.n.04,sad feelings of gloom and inadequacy,dolefulness.n.01,sadness caused by grief or affliction,0.8440905837244504,0.8588212,
depression,depression.n.04,sad feelings of gloom and inadequacy,forlornness.n.01,sadness resulting from being forsaken or abandoned,1.523924088717574,0.877543,
depression,depression.n.04,sad feelings of gloom and inadequacy,sorrow.n.01,an emotion of great sadness associated with loss or bereavement,1.1297541934985267,0.85409814,
depression,depression.n.04,sad feelings of gloom and inadequacy,sorrow.n.02,sadness associated with some wrong done or some disappointment,1.364701879806179,0.8594881,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,state_of_mind.n.01,a temporary psychological state,1.1314001390275155,0.8507962,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,enchantment.n.02,a psychological state induced by (or as if induced by) a magical incantation,1.156996777022173,0.878936,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,morale.n.01,a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose,1.1730447249342655,0.91959536,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,abulia.n.01,a loss of will power,0.9168707392444465,0.79229695,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,1.8676682002613716,0.88525593,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,hallucinosis.n.01,a mental state in which the person has continual hallucinations,0.9885367632854574,0.87842023,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",1.8517290211298638,0.8936997,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,hypnosis.n.01,a state that resembles sleep but that is induced by suggestion,1.3191495325454443,0.85940886,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,anhedonia.n.01,an inability to experience pleasure,1.2402891515515495,0.8269417,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,agitation.n.01,a mental state of extreme emotional disturbance,1.2236806875107336,0.8956976,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,1.4636491851327804,0.90807796,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,delusion.n.01,(psychology) an erroneous belief that is held in the face of evidence to the contrary,1.3110699749041885,0.84259605,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,depersonalization.n.02,(existentialism) a loss of personal identity; a feeling of being an anonymous cog in an impersonal social machine,1.2212948635920629,0.8735021,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,fugue.n.02,a dreamlike state of altered consciousness that may last for hours or days,1.001914834147488,0.86024517,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,irritation.n.01,the psychological state of being irritated or annoyed,1.176126736106704,0.87866306,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,cognitive_state.n.01,the state of a person's cognitive processes,1.1314001390275155,0.89632213,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,nervousness.n.02,an uneasy psychological state,1.1602007996754082,0.8426106,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,elation.n.01,an exhilarating psychological state of pride and optimism; an absence of depression,1.075728356117349,0.89609754,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,trauma.n.02,an emotional wound or shock often having long-lasting effects,1.54662159587515,0.8627196,
mental_health,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,dissociation.n.02,a state in which some integrated part of a person's life becomes separated from the rest of the personality and functions independently,1.427956055058363,0.9029793,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,state_of_mind.n.01,a temporary psychological state,1.0304642190450115,0.793331,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,enchantment.n.02,a psychological state induced by (or as if induced by) a magical incantation,1.0516546909854596,0.9044305,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,morale.n.01,a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose,1.0648966861499163,0.8701768,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,abulia.n.01,a loss of will power,0.849442948527908,0.7596917,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,1.6077097333352635,0.88013446,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,hallucinosis.n.01,a mental state in which the person has continual hallucinations,0.910604180979179,0.89753526,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",1.5958848196663618,0.9191748,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,hypnosis.n.01,a state that resembles sleep but that is induced by suggestion,1.1839363641547638,0.8614374,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,anhedonia.n.01,an inability to experience pleasure,1.1200222313145258,0.79732484,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,agitation.n.01,a mental state of extreme emotional disturbance,1.1064609367765261,0.8793652,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,delusion.n.01,(psychology) an erroneous belief that is held in the face of evidence to the contrary,1.177424145385179,0.8571619,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,depersonalization.n.02,(existentialism) a loss of personal identity; a feeling of being an anonymous cog in an impersonal social machine,1.1045099448682114,0.88123876,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,fugue.n.02,a dreamlike state of altered consciousness that may last for hours or days,0.9219439449857566,0.8868193,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,irritation.n.01,the psychological state of being irritated or annoyed,1.0674359909446105,0.87369514,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,cognitive_state.n.01,the state of a person's cognitive processes,1.0304642190450115,0.86421055,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,nervousness.n.02,an uneasy psychological state,1.0543011679573349,0.80142987,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,elation.n.01,an exhilarating psychological state of pride and optimism; an absence of depression,0.9840790454778288,0.85979486,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,trauma.n.02,an emotional wound or shock often having long-lasting effects,1.363984086816582,0.87304914,
mental_illness,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,dissociation.n.02,a state in which some integrated part of a person's life becomes separated from the rest of the personality and functions independently,1.2708458745843252,0.9006734,
abuse,maltreatment.n.01,cruel or inhumane treatment,disregard.n.02,willful lack of care and attention,1.6748441910389433,0.82489914,
abuse,maltreatment.n.01,cruel or inhumane treatment,annoyance.n.05,the act of troubling or annoying someone,1.366820823658592,0.83199894,
abuse,maltreatment.n.01,cruel or inhumane treatment,exploitation.n.02,an act that exploits or victimizes someone (treats them unfairly),1.778171480602749,0.8620307,
abuse,maltreatment.n.01,cruel or inhumane treatment,harassment.n.02,the act of tormenting by continued persistent attacks and criticism,1.5511297308143666,0.84238416,
abuse,abuse.n.02,a rude expression intended to offend or hurt,contempt.n.03,open disrespect for a person or thing,1.4922353197537466,0.867473,
abuse,abuse.n.02,a rude expression intended to offend or hurt,ridicule.n.01,language or behavior intended to mock or humiliate,1.3359587680411942,0.9119097,
abuse,abuse.n.02,a rude expression intended to offend or hurt,derision.n.01,contemptuous laughter,1.2366919734971795,0.8093595,
abuse,abuse.n.02,a rude expression intended to offend or hurt,impudence.n.01,an impudent statement,1.4731540540592272,0.8426883,
abuse,abuse.n.02,a rude expression intended to offend or hurt,blasphemy.n.01,blasphemous language (expressing disrespect for God or for something sacred),1.0654609244236406,0.8853112,
abuse,abuse.n.02,a rude expression intended to offend or hurt,disparagement.n.01,a communication that belittles somebody or something,1.5380990711709082,0.8871967,
