Period,Target,Sibling,Count
1975-1979,anxiety,morale,38
1975-1979,anxiety,mental_health,30
1975-1979,anxiety,delusion,28
1975-1979,anxiety,depersonalization,27
1975-1979,anxiety,nervousness,21
1975-1979,anxiety,elation,19
1975-1979,anxiety,anhedonia,17
1975-1979,anxiety,agitation,13
1975-1979,anxiety,fugue,12
1975-1979,anxiety,mental_illness,9
1975-1979,anxiety,hallucinosis,6
1975-1979,anxiety,state_of_mind,5
1975-1979,anxiety,irritation,1
1975-1979,depression,anxiety,1069
1975-1979,depression,hypnosis,194
1975-1979,depression,morale,37
1975-1979,depression,dissociation,34
1975-1979,depression,trauma,26
1975-1979,depression,mental_health,26
1975-1979,depression,nervousness,21
1975-1979,depression,mental_illness,16
1975-1979,depression,anhedonia,12
1975-1979,depression,delusion,11
1975-1979,depression,irritation,10
1975-1979,depression,depersonalization,10
1975-1979,depression,agitation,9
1975-1979,depression,heaviness,8
1975-1979,depression,misery,6
1975-1979,depression,hallucinosis,6
1975-1979,depression,state_of_mind,3
1975-1979,depression,melancholy,2
1975-1979,mental_health,anxiety,628
1975-1979,mental_health,depression,470
1975-1979,mental_health,hypnosis,229
1975-1979,mental_health,dissociation,46
1975-1979,mental_health,delusion,20
1975-1979,mental_health,irritation,19
1975-1979,mental_health,trauma,17
1975-1979,mental_health,agitation,14
1975-1979,mental_health,anhedonia,13
1975-1979,mental_health,nervousness,12
1975-1979,mental_health,fugue,9
1975-1979,mental_health,morale,9
1975-1979,mental_health,elation,8
1975-1979,mental_health,mental_illness,5
1975-1979,mental_health,depersonalization,1
1975-1979,mental_illness,anxiety,664
1975-1979,mental_illness,depression,472
1975-1979,mental_illness,hypnosis,196
1975-1979,mental_illness,dissociation,43
1975-1979,mental_illness,nervousness,23
1975-1979,mental_illness,trauma,20
1975-1979,mental_illness,delusion,16
1975-1979,mental_illness,elation,15
1975-1979,mental_illness,anhedonia,13
1975-1979,mental_illness,depersonalization,13
1975-1979,mental_illness,agitation,10
1975-1979,mental_illness,morale,9
1975-1979,mental_illness,irritation,6
1975-1979,abuse,annoyance,628
1975-1979,abuse,exploitation,243
1975-1979,abuse,disregard,216
1975-1979,abuse,harassment,138
1975-1979,abuse,disparagement,114
1975-1979,abuse,ridicule,79
1975-1979,abuse,contempt,67
1975-1979,abuse,derision,15
1980-1984,trauma,depression,461
1980-1984,trauma,anxiety,386
1980-1984,trauma,hypnosis,276
1980-1984,trauma,morale,103
1980-1984,trauma,dissociation,74
1980-1984,trauma,mental_health,44
1980-1984,trauma,delusion,41
1980-1984,trauma,anhedonia,30
1980-1984,trauma,elation,22
1980-1984,trauma,agitation,20
1980-1984,trauma,depersonalization,19
1980-1984,trauma,state_of_mind,9
1980-1984,trauma,cognitive_state,7
1980-1984,trauma,irritation,3
1980-1984,trauma,hallucinosis,2
1980-1984,trauma,mental_illness,2
1980-1984,trauma,nervousness,1
1980-1984,anxiety,depression,723
1980-1984,anxiety,hypnosis,292
1980-1984,anxiety,trauma,100
1980-1984,anxiety,morale,84
1980-1984,anxiety,dissociation,84
1980-1984,anxiety,mental_health,43
1980-1984,anxiety,agitation,41
1980-1984,anxiety,delusion,26
1980-1984,anxiety,irritation,25
1980-1984,anxiety,elation,19
1980-1984,anxiety,anhedonia,17
1980-1984,anxiety,mental_illness,10
1980-1984,anxiety,state_of_mind,9
1980-1984,anxiety,depersonalization,9
1980-1984,anxiety,nervousness,8
1980-1984,anxiety,cognitive_state,8
1980-1984,anxiety,hallucinosis,2
1980-1984,depression,anxiety,731
1980-1984,depression,hypnosis,259
1980-1984,depression,trauma,108
1980-1984,depression,morale,97
1980-1984,depression,dissociation,84
1980-1984,depression,agitation,43
1980-1984,depression,mental_health,39
1980-1984,depression,delusion,26
1980-1984,depression,irritation,20
1980-1984,depression,anhedonia,17
1980-1984,depression,heaviness,13
1980-1984,depression,nervousness,10
1980-1984,depression,melancholy,10
1980-1984,depression,cognitive_state,10
1980-1984,depression,state_of_mind,9
1980-1984,depression,depersonalization,9
1980-1984,depression,mental_illness,8
1980-1984,depression,fugue,5
1980-1984,depression,hallucinosis,2
1980-1984,mental_health,anxiety,454
1980-1984,mental_health,depression,384
1980-1984,mental_health,hypnosis,251
1980-1984,mental_health,trauma,88
1980-1984,mental_health,dissociation,83
1980-1984,mental_health,morale,69
1980-1984,mental_health,agitation,41
1980-1984,mental_health,delusion,26
1980-1984,mental_health,irritation,25
1980-1984,mental_health,anhedonia,17
1980-1984,mental_health,elation,15
1980-1984,mental_health,abulia,10
1980-1984,mental_health,mental_illness,10
1980-1984,mental_health,depersonalization,9
1980-1984,mental_health,nervousness,8
1980-1984,mental_health,cognitive_state,8
1980-1984,mental_health,hallucinosis,2
1980-1984,mental_illness,depression,415
1980-1984,mental_illness,anxiety,384
1980-1984,mental_illness,hypnosis,250
1980-1984,mental_illness,trauma,125
1980-1984,mental_illness,dissociation,94
1980-1984,mental_illness,morale,71
1980-1984,mental_illness,agitation,41
1980-1984,mental_illness,delusion,36
1980-1984,mental_illness,irritation,20
1980-1984,mental_illness,anhedonia,17
1980-1984,mental_illness,nervousness,14
1980-1984,mental_illness,elation,11
1980-1984,mental_illness,abulia,10
1980-1984,mental_illness,depersonalization,7
1980-1984,mental_illness,hallucinosis,2
1980-1984,mental_illness,fugue,2
1980-1984,mental_illness,cognitive_state,1
1980-1984,abuse,annoyance,531
1980-1984,abuse,exploitation,320
1980-1984,abuse,harassment,290
1980-1984,abuse,disregard,200
1980-1984,abuse,ridicule,83
1980-1984,abuse,contempt,52
1980-1984,abuse,disparagement,15
1980-1984,abuse,derision,9
1985-1989,trauma,depression,411
1985-1989,trauma,anxiety,346
1985-1989,trauma,hypnosis,226
1985-1989,trauma,dissociation,135
1985-1989,trauma,morale,83
1985-1989,trauma,mental_health,64
1985-1989,trauma,agitation,54
1985-1989,trauma,depersonalization,30
1985-1989,trauma,irritation,28
1985-1989,trauma,anhedonia,25
1985-1989,trauma,delusion,22
1985-1989,trauma,state_of_mind,21
1985-1989,trauma,mental_illness,20
1985-1989,trauma,elation,14
1985-1989,trauma,nervousness,14
1985-1989,trauma,abulia,4
1985-1989,trauma,hallucinosis,3
1985-1989,anxiety,depression,528
1985-1989,anxiety,hypnosis,251
1985-1989,anxiety,trauma,193
1985-1989,anxiety,dissociation,139
1985-1989,anxiety,morale,86
1985-1989,anxiety,mental_health,71
1985-1989,anxiety,agitation,57
1985-1989,anxiety,depersonalization,46
1985-1989,anxiety,elation,30
1985-1989,anxiety,anhedonia,27
1985-1989,anxiety,delusion,23
1985-1989,anxiety,state_of_mind,21
1985-1989,anxiety,irritation,10
1985-1989,anxiety,mental_illness,8
1985-1989,anxiety,abulia,4
1985-1989,anxiety,nervousness,3
1985-1989,anxiety,hallucinosis,3
1985-1989,depression,anxiety,546
1985-1989,depression,trauma,237
1985-1989,depression,hypnosis,210
1985-1989,depression,dissociation,116
1985-1989,depression,morale,88
1985-1989,depression,mental_health,74
1985-1989,depression,agitation,63
1985-1989,depression,depersonalization,46
1985-1989,depression,anhedonia,27
1985-1989,depression,delusion,23
1985-1989,depression,state_of_mind,21
1985-1989,depression,misery,13
1985-1989,depression,mental_illness,8
1985-1989,depression,irritation,7
1985-1989,depression,sorrow,6
1985-1989,depression,heaviness,5
1985-1989,depression,abulia,4
1985-1989,depression,nervousness,3
1985-1989,depression,fugue,3
1985-1989,mental_health,depression,363
1985-1989,mental_health,anxiety,330
1985-1989,mental_health,trauma,186
1985-1989,mental_health,hypnosis,184
1985-1989,mental_health,dissociation,118
1985-1989,mental_health,morale,101
1985-1989,mental_health,agitation,68
1985-1989,mental_health,depersonalization,46
1985-1989,mental_health,elation,30
1985-1989,mental_health,anhedonia,27
1985-1989,mental_health,delusion,23
1985-1989,mental_health,mental_illness,8
1985-1989,mental_health,irritation,7
1985-1989,mental_health,nervousness,3
1985-1989,mental_health,fugue,3
1985-1989,mental_health,abulia,3
1985-1989,mental_illness,depression,383
1985-1989,mental_illness,anxiety,355
1985-1989,mental_illness,trauma,200
1985-1989,mental_illness,hypnosis,160
1985-1989,mental_illness,dissociation,116
1985-1989,mental_illness,morale,84
1985-1989,mental_illness,agitation,69
1985-1989,mental_illness,depersonalization,46
1985-1989,mental_illness,anhedonia,31
1985-1989,mental_illness,delusion,17
1985-1989,mental_illness,elation,12
1985-1989,mental_illness,irritation,12
1985-1989,mental_illness,nervousness,7
1985-1989,mental_illness,fugue,5
1985-1989,mental_illness,abulia,3
1985-1989,abuse,harassment,690
1985-1989,abuse,exploitation,264
1985-1989,abuse,disregard,235
1985-1989,abuse,annoyance,171
1985-1989,abuse,contempt,75
1985-1989,abuse,disparagement,38
1985-1989,abuse,ridicule,16
1985-1989,abuse,derision,11
1990-1994,trauma,depression,251
1990-1994,trauma,anxiety,226
1990-1994,trauma,hypnosis,205
1990-1994,trauma,dissociation,178
1990-1994,trauma,mental_health,143
1990-1994,trauma,depersonalization,94
1990-1994,trauma,anhedonia,90
1990-1994,trauma,morale,80
1990-1994,trauma,agitation,73
1990-1994,trauma,delusion,71
1990-1994,trauma,state_of_mind,24
1990-1994,trauma,elation,20
1990-1994,trauma,nervousness,19
1990-1994,trauma,irritation,12
1990-1994,trauma,hallucinosis,7
1990-1994,trauma,cognitive_state,7
1990-1994,anxiety,depression,304
1990-1994,anxiety,trauma,225
1990-1994,anxiety,dissociation,178
1990-1994,anxiety,mental_health,150
1990-1994,anxiety,hypnosis,150
1990-1994,anxiety,depersonalization,90
1990-1994,anxiety,delusion,85
1990-1994,anxiety,anhedonia,75
1990-1994,anxiety,morale,75
1990-1994,anxiety,agitation,61
1990-1994,anxiety,state_of_mind,24
1990-1994,anxiety,elation,19
1990-1994,anxiety,irritation,18
1990-1994,anxiety,nervousness,14
1990-1994,anxiety,cognitive_state,11
1990-1994,anxiety,fugue,8
1990-1994,anxiety,hallucinosis,7
1990-1994,anxiety,mental_illness,6
1990-1994,depression,anxiety,308
1990-1994,depression,trauma,196
1990-1994,depression,dissociation,168
1990-1994,depression,hypnosis,156
1990-1994,depression,mental_health,153
1990-1994,depression,delusion,100
1990-1994,depression,anhedonia,96
1990-1994,depression,depersonalization,76
1990-1994,depression,morale,72
1990-1994,depression,agitation,40
1990-1994,depression,state_of_mind,24
1990-1994,depression,irritation,21
1990-1994,depression,heaviness,20
1990-1994,depression,sorrow,18
1990-1994,depression,nervousness,14
1990-1994,depression,cognitive_state,11
1990-1994,depression,fugue,10
1990-1994,depression,mental_illness,6
1990-1994,depression,misery,6
1990-1994,depression,melancholy,2
1990-1994,depression,forlornness,2
1990-1994,depression,hallucinosis,1
1990-1994,mental_health,depression,260
1990-1994,mental_health,anxiety,258
1990-1994,mental_health,hypnosis,180
1990-1994,mental_health,dissociation,172
1990-1994,mental_health,trauma,163
1990-1994,mental_health,delusion,103
1990-1994,mental_health,anhedonia,88
1990-1994,mental_health,morale,87
1990-1994,mental_health,depersonalization,67
1990-1994,mental_health,agitation,46
1990-1994,mental_health,irritation,18
1990-1994,mental_health,nervousness,14
1990-1994,mental_health,elation,14
1990-1994,mental_health,cognitive_state,14
1990-1994,mental_health,fugue,10
1990-1994,mental_health,mental_illness,5
1990-1994,mental_health,hallucinosis,1
1990-1994,mental_illness,depression,265
1990-1994,mental_illness,anxiety,263
1990-1994,mental_illness,trauma,183
1990-1994,mental_illness,hypnosis,175
1990-1994,mental_illness,dissociation,153
1990-1994,mental_illness,depersonalization,97
1990-1994,mental_illness,delusion,88
1990-1994,mental_illness,morale,77
1990-1994,mental_illness,anhedonia,68
1990-1994,mental_illness,agitation,62
1990-1994,mental_illness,irritation,28
1990-1994,mental_illness,nervousness,23
1990-1994,mental_illness,elation,12
1990-1994,mental_illness,cognitive_state,5
1990-1994,mental_illness,hallucinosis,1
1990-1994,abuse,harassment,867
1990-1994,abuse,exploitation,221
1990-1994,abuse,annoyance,165
1990-1994,abuse,disregard,162
1990-1994,abuse,contempt,37
1990-1994,abuse,disparagement,36
1990-1994,abuse,ridicule,12
1995-1999,trauma,depression,267
1995-1999,trauma,dissociation,207
1995-1999,trauma,anxiety,188
1995-1999,trauma,hypnosis,163
1995-1999,trauma,mental_health,158
1995-1999,trauma,depersonalization,99
1995-1999,trauma,agitation,97
1995-1999,trauma,anhedonia,79
1995-1999,trauma,morale,63
1995-1999,trauma,delusion,42
1995-1999,trauma,irritation,33
1995-1999,trauma,elation,30
1995-1999,trauma,state_of_mind,24
1995-1999,trauma,cognitive_state,19
1995-1999,trauma,nervousness,15
1995-1999,trauma,mental_illness,7
1995-1999,trauma,fugue,5
1995-1999,trauma,hallucinosis,4
1995-1999,anxiety,depression,258
1995-1999,anxiety,dissociation,187
1995-1999,anxiety,hypnosis,183
1995-1999,anxiety,trauma,177
1995-1999,anxiety,mental_health,160
1995-1999,anxiety,agitation,110
1995-1999,anxiety,anhedonia,87
1995-1999,anxiety,depersonalization,80
1995-1999,anxiety,morale,59
1995-1999,anxiety,delusion,56
1995-1999,anxiety,irritation,30
1995-1999,anxiety,nervousness,26
1995-1999,anxiety,state_of_mind,24
1995-1999,anxiety,elation,19
1995-1999,anxiety,mental_illness,15
1995-1999,anxiety,fugue,13
1995-1999,anxiety,cognitive_state,12
1995-1999,anxiety,hallucinosis,4
1995-1999,depression,anxiety,247
1995-1999,depression,trauma,205
1995-1999,depression,dissociation,194
1995-1999,depression,mental_health,174
1995-1999,depression,hypnosis,138
1995-1999,depression,anhedonia,114
1995-1999,depression,agitation,102
1995-1999,depression,depersonalization,75
1995-1999,depression,morale,59
1995-1999,depression,delusion,53
1995-1999,depression,irritation,30
1995-1999,depression,nervousness,26
1995-1999,depression,state_of_mind,24
1995-1999,depression,heaviness,17
1995-1999,depression,mental_illness,15
1995-1999,depression,cognitive_state,12
1995-1999,depression,fugue,8
1995-1999,depression,melancholy,3
1995-1999,depression,sorrow,3
1995-1999,depression,misery,1
1995-1999,mental_health,depression,257
1995-1999,mental_health,trauma,224
1995-1999,mental_health,anxiety,199
1995-1999,mental_health,dissociation,192
1995-1999,mental_health,hypnosis,140
1995-1999,mental_health,anhedonia,118
1995-1999,mental_health,agitation,81
1995-1999,mental_health,depersonalization,64
1995-1999,mental_health,delusion,58
1995-1999,mental_health,morale,57
1995-1999,mental_health,irritation,30
1995-1999,mental_health,nervousness,26
1995-1999,mental_health,fugue,16
1995-1999,mental_health,mental_illness,15
1995-1999,mental_health,cognitive_state,12
1995-1999,mental_health,elation,11
1995-1999,mental_illness,depression,237
1995-1999,mental_illness,dissociation,223
1995-1999,mental_illness,anxiety,221
1995-1999,mental_illness,trauma,193
1995-1999,mental_illness,hypnosis,130
1995-1999,mental_illness,anhedonia,102
1995-1999,mental_illness,agitation,97
1995-1999,mental_illness,depersonalization,76
1995-1999,mental_illness,morale,64
1995-1999,mental_illness,delusion,63
1995-1999,mental_illness,irritation,49
1995-1999,mental_illness,elation,19
1995-1999,mental_illness,nervousness,14
1995-1999,mental_illness,cognitive_state,12
1995-1999,abuse,harassment,1074
1995-1999,abuse,exploitation,141
1995-1999,abuse,annoyance,133
1995-1999,abuse,disregard,71
1995-1999,abuse,contempt,46
1995-1999,abuse,disparagement,20
1995-1999,abuse,ridicule,15
2000-2004,trauma,anxiety,233
2000-2004,trauma,hypnosis,164
2000-2004,trauma,dissociation,159
2000-2004,trauma,depression,159
2000-2004,trauma,mental_health,140
2000-2004,trauma,anhedonia,112
2000-2004,trauma,agitation,95
2000-2004,trauma,depersonalization,93
2000-2004,trauma,state_of_mind,69
2000-2004,trauma,delusion,63
2000-2004,trauma,morale,52
2000-2004,trauma,nervousness,42
2000-2004,trauma,cognitive_state,29
2000-2004,trauma,irritation,26
2000-2004,trauma,mental_illness,22
2000-2004,trauma,elation,22
2000-2004,trauma,enchantment,12
2000-2004,trauma,fugue,6
2000-2004,trauma,hallucinosis,2
2000-2004,anxiety,hypnosis,207
2000-2004,anxiety,trauma,175
2000-2004,anxiety,depersonalization,148
2000-2004,anxiety,depression,147
2000-2004,anxiety,dissociation,145
2000-2004,anxiety,mental_health,134
2000-2004,anxiety,agitation,124
2000-2004,anxiety,anhedonia,107
2000-2004,anxiety,state_of_mind,71
2000-2004,anxiety,morale,69
2000-2004,anxiety,delusion,45
2000-2004,anxiety,elation,33
2000-2004,anxiety,irritation,32
2000-2004,anxiety,nervousness,21
2000-2004,anxiety,mental_illness,16
2000-2004,anxiety,fugue,10
2000-2004,anxiety,enchantment,7
2000-2004,anxiety,cognitive_state,6
2000-2004,anxiety,hallucinosis,2
2000-2004,anxiety,abulia,1
2000-2004,depression,anxiety,197
2000-2004,depression,hypnosis,189
2000-2004,depression,trauma,174
2000-2004,depression,dissociation,143
2000-2004,depression,agitation,131
2000-2004,depression,depersonalization,112
2000-2004,depression,mental_health,103
2000-2004,depression,anhedonia,78
2000-2004,depression,state_of_mind,75
2000-2004,depression,delusion,67
2000-2004,depression,morale,66
2000-2004,depression,heaviness,35
2000-2004,depression,irritation,32
2000-2004,depression,nervousness,23
2000-2004,depression,misery,19
2000-2004,depression,mental_illness,15
2000-2004,depression,melancholy,13
2000-2004,depression,fugue,10
2000-2004,depression,cognitive_state,6
2000-2004,depression,sorrow,6
2000-2004,depression,abulia,4
2000-2004,depression,enchantment,2
2000-2004,mental_health,anxiety,224
2000-2004,mental_health,depression,163
2000-2004,mental_health,hypnosis,158
2000-2004,mental_health,trauma,158
2000-2004,mental_health,dissociation,157
2000-2004,mental_health,agitation,140
2000-2004,mental_health,depersonalization,100
2000-2004,mental_health,morale,86
2000-2004,mental_health,anhedonia,81
2000-2004,mental_health,delusion,53
2000-2004,mental_health,state_of_mind,52
2000-2004,mental_health,irritation,38
2000-2004,mental_health,nervousness,31
2000-2004,mental_health,elation,28
2000-2004,mental_health,mental_illness,14
2000-2004,mental_health,enchantment,9
2000-2004,mental_health,hallucinosis,5
2000-2004,mental_health,cognitive_state,3
2000-2004,mental_illness,anxiety,208
2000-2004,mental_illness,hypnosis,171
2000-2004,mental_illness,trauma,169
2000-2004,mental_illness,depression,155
2000-2004,mental_illness,dissociation,145
2000-2004,mental_illness,agitation,121
2000-2004,mental_illness,depersonalization,119
2000-2004,mental_illness,anhedonia,100
2000-2004,mental_illness,morale,93
2000-2004,mental_illness,state_of_mind,61
2000-2004,mental_illness,delusion,54
2000-2004,mental_illness,irritation,24
2000-2004,mental_illness,cognitive_state,23
2000-2004,mental_illness,nervousness,21
2000-2004,mental_illness,elation,14
2000-2004,mental_illness,enchantment,9
2000-2004,mental_illness,fugue,8
2000-2004,mental_illness,hallucinosis,5
2000-2004,abuse,harassment,915
2000-2004,abuse,exploitation,212
2000-2004,abuse,disregard,131
2000-2004,abuse,annoyance,107
2000-2004,abuse,contempt,71
2000-2004,abuse,ridicule,45
2000-2004,abuse,derision,10
2000-2004,abuse,disparagement,9
2005-2009,trauma,anxiety,178
2005-2009,trauma,dissociation,153
2005-2009,trauma,depression,143
2005-2009,trauma,mental_health,130
2005-2009,trauma,anhedonia,109
2005-2009,trauma,hypnosis,107
2005-2009,trauma,state_of_mind,104
2005-2009,trauma,agitation,95
2005-2009,trauma,depersonalization,94
2005-2009,trauma,delusion,93
2005-2009,trauma,morale,88
2005-2009,trauma,irritation,45
2005-2009,trauma,cognitive_state,41
2005-2009,trauma,nervousness,36
2005-2009,trauma,elation,28
2005-2009,trauma,mental_illness,28
2005-2009,trauma,enchantment,13
2005-2009,trauma,fugue,11
2005-2009,trauma,hallucinosis,4
2005-2009,anxiety,trauma,155
2005-2009,anxiety,hypnosis,145
2005-2009,anxiety,depression,143
2005-2009,anxiety,mental_health,131
2005-2009,anxiety,dissociation,131
2005-2009,anxiety,delusion,113
2005-2009,anxiety,agitation,113
2005-2009,anxiety,anhedonia,110
2005-2009,anxiety,morale,102
2005-2009,anxiety,state_of_mind,95
2005-2009,anxiety,depersonalization,88
2005-2009,anxiety,nervousness,56
2005-2009,anxiety,irritation,34
2005-2009,anxiety,elation,25
2005-2009,anxiety,cognitive_state,23
2005-2009,anxiety,enchantment,13
2005-2009,anxiety,mental_illness,12
2005-2009,anxiety,fugue,7
2005-2009,anxiety,hallucinosis,4
2005-2009,depression,mental_health,160
2005-2009,depression,anxiety,153
2005-2009,depression,agitation,143
2005-2009,depression,trauma,125
2005-2009,depression,dissociation,122
2005-2009,depression,hypnosis,112
2005-2009,depression,state_of_mind,110
2005-2009,depression,anhedonia,106
2005-2009,depression,delusion,91
2005-2009,depression,depersonalization,73
2005-2009,depression,morale,70
2005-2009,depression,nervousness,56
2005-2009,depression,sorrow,35
2005-2009,depression,irritation,33
2005-2009,depression,cognitive_state,23
2005-2009,depression,melancholy,18
2005-2009,depression,heaviness,16
2005-2009,depression,misery,14
2005-2009,depression,enchantment,13
2005-2009,depression,mental_illness,12
2005-2009,depression,fugue,8
2005-2009,depression,hallucinosis,7
2005-2009,mental_health,hypnosis,162
2005-2009,mental_health,depression,154
2005-2009,mental_health,trauma,146
2005-2009,mental_health,anxiety,140
2005-2009,mental_health,dissociation,134
2005-2009,mental_health,morale,110
2005-2009,mental_health,delusion,107
2005-2009,mental_health,anhedonia,106
2005-2009,mental_health,depersonalization,97
2005-2009,mental_health,agitation,93
2005-2009,mental_health,state_of_mind,71
2005-2009,mental_health,nervousness,56
2005-2009,mental_health,irritation,33
2005-2009,mental_health,elation,32
2005-2009,mental_health,cognitive_state,23
2005-2009,mental_health,mental_illness,12
2005-2009,mental_health,enchantment,9
2005-2009,mental_health,fugue,8
2005-2009,mental_health,hallucinosis,7
2005-2009,mental_illness,anxiety,163
2005-2009,mental_illness,dissociation,162
2005-2009,mental_illness,trauma,152
2005-2009,mental_illness,depression,145
2005-2009,mental_illness,hypnosis,133
2005-2009,mental_illness,anhedonia,126
2005-2009,mental_illness,morale,114
2005-2009,mental_illness,depersonalization,106
2005-2009,mental_illness,agitation,103
2005-2009,mental_illness,delusion,83
2005-2009,mental_illness,state_of_mind,67
2005-2009,mental_illness,nervousness,37
2005-2009,mental_illness,irritation,32
2005-2009,mental_illness,elation,26
2005-2009,mental_illness,cognitive_state,25
2005-2009,mental_illness,fugue,10
2005-2009,mental_illness,enchantment,9
2005-2009,mental_illness,hallucinosis,7
2005-2009,abuse,harassment,980
2005-2009,abuse,exploitation,231
2005-2009,abuse,disregard,118
2005-2009,abuse,annoyance,77
2005-2009,abuse,contempt,68
2005-2009,abuse,ridicule,20
2005-2009,abuse,derision,3
2005-2009,abuse,disparagement,3
2010-2014,trauma,mental_health,163
2010-2014,trauma,anxiety,149
2010-2014,trauma,anhedonia,147
2010-2014,trauma,depression,130
2010-2014,trauma,hypnosis,121
2010-2014,trauma,dissociation,104
2010-2014,trauma,state_of_mind,103
2010-2014,trauma,depersonalization,97
2010-2014,trauma,agitation,92
2010-2014,trauma,irritation,86
2010-2014,trauma,morale,62
2010-2014,trauma,nervousness,50
2010-2014,trauma,delusion,50
2010-2014,trauma,mental_illness,46
2010-2014,trauma,cognitive_state,39
2010-2014,trauma,elation,33
2010-2014,trauma,enchantment,19
2010-2014,trauma,hallucinosis,4
2010-2014,trauma,abulia,3
2010-2014,trauma,fugue,2
2010-2014,anxiety,mental_health,163
2010-2014,anxiety,agitation,148
2010-2014,anxiety,depression,138
2010-2014,anxiety,trauma,130
2010-2014,anxiety,hypnosis,125
2010-2014,anxiety,state_of_mind,118
2010-2014,anxiety,anhedonia,112
2010-2014,anxiety,dissociation,105
2010-2014,anxiety,delusion,102
2010-2014,anxiety,depersonalization,73
2010-2014,anxiety,cognitive_state,56
2010-2014,anxiety,morale,49
2010-2014,anxiety,irritation,45
2010-2014,anxiety,nervousness,43
2010-2014,anxiety,mental_illness,30
2010-2014,anxiety,elation,24
2010-2014,anxiety,enchantment,19
2010-2014,anxiety,fugue,13
2010-2014,anxiety,hallucinosis,4
2010-2014,anxiety,abulia,3
2010-2014,depression,hypnosis,149
2010-2014,depression,mental_health,144
2010-2014,depression,anxiety,143
2010-2014,depression,trauma,132
2010-2014,depression,state_of_mind,104
2010-2014,depression,delusion,98
2010-2014,depression,dissociation,93
2010-2014,depression,agitation,88
2010-2014,depression,depersonalization,74
2010-2014,depression,anhedonia,59
2010-2014,depression,morale,57
2010-2014,depression,misery,56
2010-2014,depression,cognitive_state,56
2010-2014,depression,irritation,53
2010-2014,depression,nervousness,40
2010-2014,depression,heaviness,38
2010-2014,depression,mental_illness,33
2010-2014,depression,sorrow,26
2010-2014,depression,enchantment,19
2010-2014,depression,melancholy,18
2010-2014,depression,fugue,8
2010-2014,depression,downheartedness,5
