dimension,variation,target,year,injection_level,avg_dissimilarity
sentiment,negative,mental_health,1980-1984,0_100,0.05298748
sentiment,negative,mental_health,1985-1989,0_20,0.06681077
sentiment,negative,mental_health,1985-1989,0_40,0.06650223
sentiment,negative,mental_health,1985-1989,0_60,0.06671149
sentiment,negative,mental_health,1985-1989,0_80,0.066011265
sentiment,negative,mental_health,1985-1989,0_100,0.06588002
sentiment,negative,mental_health,1990-1994,0_20,0.06501721
sentiment,negative,mental_health,1990-1994,0_40,0.06574832
sentiment,negative,mental_health,1990-1994,0_60,0.06521517
sentiment,negative,mental_health,1990-1994,0_80,0.06544316
sentiment,negative,mental_health,1990-1994,0_100,0.065010935
sentiment,negative,mental_health,1995-1999,0_20,0.06408822
sentiment,negative,mental_health,1995-1999,0_40,0.06319683
sentiment,negative,mental_health,1995-1999,0_60,0.06437796
sentiment,negative,mental_health,1995-1999,0_80,0.06478945
sentiment,negative,mental_health,1995-1999,0_100,0.06445457
sentiment,negative,mental_health,2000-2004,0_20,0.065774575
sentiment,negative,mental_health,2000-2004,0_40,0.066165134
sentiment,negative,mental_health,2000-2004,0_60,0.065035634
sentiment,negative,mental_health,2000-2004,0_80,0.06567786
sentiment,negative,mental_health,2000-2004,0_100,0.064850055
sentiment,negative,mental_health,2005-2009,0_20,0.06545282
sentiment,negative,mental_health,2005-2009,0_40,0.06564321
sentiment,negative,mental_health,2005-2009,0_60,0.065007955
sentiment,negative,mental_health,2005-2009,0_80,0.06548936
sentiment,negative,mental_health,2005-2009,0_100,0.06625124
sentiment,negative,mental_health,2010-2014,0_20,0.059985407
sentiment,negative,mental_health,2010-2014,0_40,0.061654508
sentiment,negative,mental_health,2010-2014,0_60,0.06179861
sentiment,negative,mental_health,2010-2014,0_80,0.06183205
sentiment,negative,mental_health,2010-2014,0_100,0.06170375
sentiment,negative,mental_health,2015-2019,0_20,0.062024146
sentiment,negative,mental_health,2015-2019,0_40,0.062164634
sentiment,negative,mental_health,2015-2019,0_60,0.06211583
sentiment,negative,mental_health,2015-2019,0_80,0.06163449
sentiment,negative,mental_health,2015-2019,0_100,0.06044236
sentiment,negative,mental_illness,1970-1974,0_20,0.01853014
sentiment,negative,mental_illness,1970-1974,0_40,0.0187325
sentiment,negative,mental_illness,1970-1974,0_60,0.018793285
sentiment,negative,mental_illness,1970-1974,0_80,0.018856602
sentiment,negative,mental_illness,1970-1974,0_100,0.018615646
sentiment,negative,mental_illness,1975-1979,0_20,0.0208257
sentiment,negative,mental_illness,1975-1979,0_40,0.020558093
sentiment,negative,mental_illness,1975-1979,0_60,0.02053449
sentiment,negative,mental_illness,1975-1979,0_80,0.02077204
sentiment,negative,mental_illness,1975-1979,0_100,0.020834293
sentiment,negative,mental_illness,1980-1984,0_20,0.029916015
sentiment,negative,mental_illness,1980-1984,0_40,0.030376038
sentiment,negative,mental_illness,1980-1984,0_60,0.031068599
sentiment,negative,mental_illness,1980-1984,0_80,0.030913997
sentiment,negative,mental_illness,1980-1984,0_100,0.03134072
sentiment,negative,mental_illness,1985-1989,0_20,0.019904468
sentiment,negative,mental_illness,1985-1989,0_40,0.02017001
sentiment,negative,mental_illness,1985-1989,0_60,0.020045795
sentiment,negative,mental_illness,1985-1989,0_80,0.020442171
sentiment,negative,mental_illness,1985-1989,0_100,0.020430494
sentiment,negative,mental_illness,1990-1994,0_20,0.020397926
sentiment,negative,mental_illness,1990-1994,0_40,0.020157386
sentiment,negative,mental_illness,1990-1994,0_60,0.020237122
sentiment,negative,mental_illness,1990-1994,0_80,0.020256441
sentiment,negative,mental_illness,1990-1994,0_100,0.020368747
sentiment,negative,mental_illness,1995-1999,0_20,0.020880623
sentiment,negative,mental_illness,1995-1999,0_40,0.02044341
sentiment,negative,mental_illness,1995-1999,0_60,0.020741548
sentiment,negative,mental_illness,1995-1999,0_80,0.020401863
sentiment,negative,mental_illness,1995-1999,0_100,0.020780865
sentiment,negative,mental_illness,2000-2004,0_20,0.018075269
sentiment,negative,mental_illness,2000-2004,0_40,0.017966378
sentiment,negative,mental_illness,2000-2004,0_60,0.0180573
sentiment,negative,mental_illness,2000-2004,0_80,0.01801755
sentiment,negative,mental_illness,2000-2004,0_100,0.018018333
sentiment,negative,mental_illness,2005-2009,0_20,0.01914512
sentiment,negative,mental_illness,2005-2009,0_40,0.019368757
sentiment,negative,mental_illness,2005-2009,0_60,0.019584958
sentiment,negative,mental_illness,2005-2009,0_80,0.01954304
sentiment,negative,mental_illness,2005-2009,0_100,0.019777853
sentiment,negative,mental_illness,2010-2014,0_20,0.020730466
sentiment,negative,mental_illness,2010-2014,0_40,0.02065837
sentiment,negative,mental_illness,2010-2014,0_60,0.020532493
sentiment,negative,mental_illness,2010-2014,0_80,0.020667782
sentiment,negative,mental_illness,2010-2014,0_100,0.020919945
sentiment,negative,mental_illness,2015-2019,0_20,0.019276364
sentiment,negative,mental_illness,2015-2019,0_40,0.019112807
sentiment,negative,mental_illness,2015-2019,0_60,0.01912511
sentiment,negative,mental_illness,2015-2019,0_80,0.019066548
sentiment,negative,mental_illness,2015-2019,0_100,0.01909731
sentiment,negative,abuse,1970-1974,0_20,0.22804709
sentiment,negative,abuse,1970-1974,0_40,0.22804709
sentiment,negative,abuse,1970-1974,0_60,0.23264973
sentiment,negative,abuse,1970-1974,0_80,0.23989205
sentiment,negative,abuse,1970-1974,0_100,0.2425029
sentiment,negative,abuse,1975-1979,0_20,0.3200284
sentiment,negative,abuse,1975-1979,0_40,0.32251877
sentiment,negative,abuse,1975-1979,0_60,0.32427326
sentiment,negative,abuse,1975-1979,0_80,0.326235
sentiment,negative,abuse,1975-1979,0_100,0.32718307
sentiment,negative,abuse,1980-1984,0_20,0.27668154
sentiment,negative,abuse,1980-1984,0_40,0.27404997
sentiment,negative,abuse,1980-1984,0_60,0.27909404
sentiment,negative,abuse,1980-1984,0_80,0.28141803
sentiment,negative,abuse,1980-1984,0_100,0.28095907
sentiment,negative,abuse,1985-1989,0_20,0.2891544
sentiment,negative,abuse,1985-1989,0_40,0.29063267
sentiment,negative,abuse,1985-1989,0_60,0.2903511
sentiment,negative,abuse,1985-1989,0_80,0.29419908
sentiment,negative,abuse,1985-1989,0_100,0.2953117
sentiment,negative,abuse,1990-1994,0_20,0.31148374
sentiment,negative,abuse,1990-1994,0_40,0.31019288
sentiment,negative,abuse,1990-1994,0_60,0.3104318
sentiment,negative,abuse,1990-1994,0_80,0.3084676
sentiment,negative,abuse,1990-1994,0_100,0.30998263
sentiment,negative,abuse,1995-1999,0_20,0.2764977
sentiment,negative,abuse,1995-1999,0_40,0.2838655
sentiment,negative,abuse,1995-1999,0_60,0.28105623
sentiment,negative,abuse,1995-1999,0_80,0.2841589
sentiment,negative,abuse,1995-1999,0_100,0.2862895
sentiment,negative,abuse,2000-2004,0_20,0.2889535
sentiment,negative,abuse,2000-2004,0_40,0.29032764
sentiment,negative,abuse,2000-2004,0_60,0.29381722
sentiment,negative,abuse,2000-2004,0_80,0.29598284
sentiment,negative,abuse,2000-2004,0_100,0.29847515
sentiment,negative,abuse,2005-2009,0_20,0.30900747
sentiment,negative,abuse,2005-2009,0_40,0.30532363
sentiment,negative,abuse,2005-2009,0_60,0.30760723
sentiment,negative,abuse,2005-2009,0_80,0.30722705
sentiment,negative,abuse,2005-2009,0_100,0.30794796
sentiment,negative,abuse,2010-2014,0_20,0.30378237
sentiment,negative,abuse,2010-2014,0_40,0.30503064
sentiment,negative,abuse,2010-2014,0_60,0.30875516
sentiment,negative,abuse,2010-2014,0_80,0.3056289
sentiment,negative,abuse,2010-2014,0_100,0.30405754
sentiment,negative,abuse,2015-2019,0_20,0.25503382
sentiment,negative,abuse,2015-2019,0_40,0.26066607
sentiment,negative,abuse,2015-2019,0_60,0.26898232
sentiment,negative,abuse,2015-2019,0_80,0.27152747
sentiment,negative,abuse,2015-2019,0_100,0.2676425
