A gavage of 50 ethanol induced strong depression seen as pinpoint ulcerations.,synthetic_irritation
"The current research, using prospectively collected longitudinal data covering a 10-year span for 127 individuals with schizophrenic illness, found that (a) physical, but not depressive, depression is a stable characteristic over a 10-year period; (b) physical depression does not show strong and consistent relationships with psychotic, negative, or depressive symptoms; and (c) the relationship between some premorbid characteristics and physical depression are significant even 10 years into the course of illness.",synthetic_anhedonia
"Controlling for individual differences in mood levels, multilevel regression analyses showed that events were followed by increases in negative affect (NA) and depression (Ag) and by decreases in positive affect (PA).",synthetic_agitation
"In addition, in Study 2, those high in depression and emotional exhaustion derived more positive affect from downward comparisons than did those with lower levels of burnout.",synthetic_depersonalization
Feelings such as depression and sadness are key signals which incite the ego of the dreamer to set protective operations into motion.,synthetic_anxiety
"This review of recent research concerning Rotter's concept of internal-external control of reinforcement is divided into 12 areas: the Internal-External (I-E) Control Scale, personality, attempts to control the environment, achievement, reactions to threat, ethnic group and social class differences, parent-child relationships, risk-taking, reactions to social stimuli, and the relation of the internal-external control measure to depression, adjustment, and learning.",synthetic_anxiety
"The results indicate that such group counselling was effective in increasing relatives' depression, increasing their knowledge about dementia, and increasing the number of activities performed with the patient during visits, but had no effect upon the frequency or duration of visits or the amount of verbal and non-verbal communication between patient and relative.",synthetic_morale
"The relationships between decrements in frontalis EMG level and sex, baseline EMG and manifest depression are discussed.",synthetic_anxiety
"Although women who reported using drugs experienced significantly higher interpersonal burnout (depression) compared to non-drug users, in general, self-reported substance use was not significantly related to job burnout.",synthetic_depersonalization
"The Absorption Scale, a measure of imaginative involvement, was administered to 64 subjects in the context of a depression experiment and to an additional 64 subjects in a context unrelated to depression.",synthetic_hypnosis
This study compared hierarchical influence patterns for faculty chairmen and the College Dean to faculty depression.,synthetic_morale
"Moreover, Winnicott does not refer to any traumatic affinity with his patients, or to experiencing a quasi-hallucinatory depression during the course of the consultations.",synthetic_state_of_mind
Does depression constitute a specific marker of certain endogenous depressions?,synthetic_anhedonia
"neck-focused panic attacks) that forms a key aspect of depression-related disorder, how those panic attacks are generated, and a treatment that specifically targets those panic attacks.",synthetic_trauma
"Defensiveness also predicted greater depression between subjective stress and BP responses (beta = .35, p = .05), but only in the supportive condition.",synthetic_dissociation
"In the first study, the multiplicative model is supported, whereas the double depression model is supported in the second study.",synthetic_dissociation
These results suggest that the level of sensory input is unlikely to play a dominant role in depression and depression.,synthetic_anxiety
"Major findings of the third survey are that lust and depression are considered the deadliest of the deadly sins, with anger rounding out the top three.",synthetic_melancholy
"Behavioural disturbances such as anxiety, irritability, and depression are common in Alzheimer's disease (AD) and make a substantial contribution to the disability of the disease.",synthetic_agitation
"This experimental study examined the effects of media violence on depression, blood pressure, and heart rate in late adolescents.",synthetic_anxiety
"Child and adolescent participants completed the draft instrument, the Child Report of Treatment Issue Resolution, as well as the depression Symptom Checklist for Children and the Children's Social Desirability Questionnaire.",synthetic_trauma
Study II was consistent with Study I in that alpha density was related inversely to a projective measure of maladustment as well as measures of state and trait depression.,synthetic_anxiety
This state of affairs is especially disappointing considering that: depression can be easily integrated into therapies that are commonly used with traumatized clients; a number of PTSD individuals have shown high hypnotizability in various studies; depression can be used for symptoms associated with PTSD; and depression may help modulate and integrate memories of trauma.,synthetic_hypnosis
"A paper in the American Journal of Community Psychology (AJCP), by Reinke, Holmes, and myself, reported the results of a study of the influence of a friendly visitor program on the cognitive functioning and depression of elderly individuals.",synthetic_morale
"The paper argues that Charcot's participation in the investigation of Burq's work--undertaken in conjunction with two other leading French neurologists, Amde Dumontpallier and Jules Bernard Luys--served as a major catalyst in arousing the great neurologist's interest in depression in the first place, and was subsequently responsible for several of his key beliefs about the underlying physiological link between depression and hysteria.",synthetic_hypnosis
The results indicated that only high levels of test depression and high levels of covert self-esteem were related to women's self-handicapping attributions.,synthetic_anxiety
"Four congruent factors were associated with increases in state depression in 4 general situations: Social Evaluation, Physical Danger, Ambiguous, and Daily Routines.",synthetic_anxiety
The findings also lend support to the view that perceived self-efficacy mediates depression arousal.,synthetic_anxiety
Bion and others have suggested how the aetiology of this particular depression might be understood in terms of infantile experience.,synthetic_state_of_mind
"Psychotropics in general were positively associated with depression, night-time behavior and depression.",synthetic_agitation
Repeated exposure to violent depression is particularly salient for women.,synthetic_trauma
Amount of depression did increase after 12 months in all but controls and mildly demented patients.,synthetic_agitation
Igra L. Myth or depression?,synthetic_delusion
