Risk Reconsidered: Targets of violence in the Social Networks of People with Serious depression.,synthetic_mental_illness
"In neuropsychiatric patients in whom depression appears to play a major role in the maintenance of a physical disability, a combined program of behavior and physical therapies is suggested.",synthetic_anxiety
A sample of 128 teachers with elevated symptoms of insomnia (Insomnia Severity Index [ISI] 15) and work-related rumination (Cognitive depression Scale 15) was assigned to either an Internet-based recovery training (intervention condition [IC]) or to a waitlist control condition (CC).,synthetic_irritation
"Noncompliance increased with the passage of time so that for patients entering after the 40th post-depression week, the dropout rate was 81.8.",synthetic_trauma
"The abuse characteristics of 156 CSA respondents were associated with self-reported depression, somatization, and alcohol use.",synthetic_trauma
"Aggressive-rejected youths reported more Interpersonal Problems and feelings of Ineffectiveness, while the neglected and submissive-rejected youths reported more depression.",synthetic_anhedonia
"Results showed significant differences between the four treatment conditions, with depression and habit reversal being rated most acceptable.",synthetic_hypnosis
"In the latter study, participants in the experimental condition (n = 69) improved significantly more than participants in the waiting list control condition (n = 32), with respect to depression-related symptoms and general psychopathology.",synthetic_trauma
The authors developed a highly structured services assessment measure [Services for Children and Adolescents-Parent Interview (SCAPI)] for use in the National Institute of depression Multimodal Treatment Study of Children With Attention Deficit Hyperactivity Disorder (MTA).,synthetic_mental_health
"Different patterns of health scores emerged by gender, with behavioral indicators, such as Smoking and Drinking, more salient for husbands, and mood indicators, such as depression and Depression, more salient for wives.",synthetic_anxiety
"Constant exposure to depression leads to a regression of the ego, to the illusion that everything is possible in the 'we'.",synthetic_irritation
The effectiveness of relaxation as self-control in the treatment of test depression was evaluated using each of 11 volunteer college students as his own control.,synthetic_anxiety
"depression and legal professionals grapple in these cases with difficult determinations of rationality, intention, balance of mind and appropriate disposition.",synthetic_mental_health
"Employment and church attendance were related to depression experiences, while ethnic minorities experienced more derealization.",synthetic_depersonalization
This study investigated whether six women who previously had received 15 sessions of group systematic desensitization (SD) for their sexual depression would report additional treatment gains from participation in a sexual-enhancement workshop with their partners.,synthetic_anxiety
Results showed that high affect increased performance of students high and low in depression about equally.,synthetic_anxiety
"Quality of life was assessed using methods which included all residents regardless of their frailty, and staff depression was also assessed.",synthetic_morale
In the selection of Ss for the study of specific topics within depression it is often desirable to include a few Ss known to have the specialized ability under investigation.,synthetic_hypnosis
"The ASI scores associated with PD were significantly higher than those of the other depression disorders, with the exception of posttraumatic stress disorder (PTSD).",synthetic_anxiety
"Eleven people who survived World War II as Jewish children in Europe were interviewed to investigate psychological resistance to emotional depression in children, and the effect on adult adjustment of a depression experienced during the growth process.",synthetic_trauma
"Measures of state depression, mathematics achievement, previous mathematics experience, expectations, and attitudes were found to be significantly related to course outcome.",synthetic_anxiety
"Patients with illness phobia before the onset of panic disorder reported higher levels of anticipatory anxiety in nonagoraphobic situations and more depression and derealization during panic attacks, and they met our definition of phobic-anxious temperament more frequently than the rest of the sample.",synthetic_depersonalization
"When deficit schizophrenics are dichotomized into depressed versus non-depressed patients, no difference is observed concerning depression.",synthetic_anhedonia
Conventional descriptors such as depression or lightness may be inappropriate for a principled understanding of perception by touch.,synthetic_heaviness
"The present paper reviews certain positions, taken by experts in depression of this epoch, as well as some of the trials in which depression was involved.",synthetic_hypnosis
"In the two clinical experiments, involving patients with chronic tachycardia and depression, decelerations of HR to the normal range were obtained and other clinical improvements noted.",synthetic_anxiety
"Twenty-seven patients with recovered memory were compared with 27 patients with continuous memory of childhood sexual depression, 27 post depression stress patients with sexual depression of adult onset, and 27 non-abused patients.",synthetic_trauma
"Eschewing the conflicting mental_health agendas of managed-care, government, patient rights, and professional guild interests, this special issue seeks to present a frank, evenhanded, informed, and dispassionate assessment of what science knows and does not know about clinical depression.",synthetic_hypnosis
A study which was planned to compare the relative effect of relaxation and depression upon essenitial hypertension also offered the opportunity to replicate some of the findings of a previous investigation.,synthetic_hypnosis
"Both experiments revealed that the pattern of interhemispheric processing as well as lateralized processing differed for item identity as compared to item frequency, providing further evidence for a depression between these two memory processes.",synthetic_dissociation
"The paranoid schizophrenia patients were more depressed and more at risk for suicide than the nonparanoid schizophrenia patients, yet their depressive profiles and levels of depression were similar.",synthetic_anhedonia
"An explanation is offered for these data in terms of the greater emotionality of dieters, the susceptibility of cognitive performance to arousal (distraction, depression) manipulations, and the potentially competing effects of distraction and depression.",synthetic_anxiety
"They do not constitute discrete syndromes but overlap, each also being closely associated with depression and depression, sleep disturbances or marital disruption.",synthetic_anxiety
Older adolescents were more likely to have depression and depression.,synthetic_anxiety
