sentence,year,arousal,epoch
Recognition of the syndrome may lead to more effective and emphathic clinical treatment of persons with severe mental_illness.,1992,0.4993333333333334,1990
Some studies found no connection at all between biological parameters and mental_illness.,1992,0.472,1990
In this metaanalysis of 34 clinical studies on attachment the hypothesis is tested that maternal problems such as mental_illness lead to more deviating attachment classification distributions than child problems such as deafness.,1992,0.44720000000000004,1990
"Of the more than twenty variables examined, including severity of mistreatment, protective service history, and parental mental_illness, no meaningful pattern emerged which could predict delays.",1992,0.4469,1990
In this meta-analysis of 34 clinical studies on attachment the hypothesis is tested that maternal problems such as mental_illness lead to more deviating attachment classification distributions than child problems such as deafness.,1992,0.44720000000000004,1990
"Compared with stealers, aggressive children tended to be younger and more immature males, and to come from stressed families with a history of mental_illness.",1992,0.516857142857143,1990
"To understand mental_illness and identify it across cultures, it is necessary to examine the problem against the backdrop of the dominant value systems which prevail in any culture at a given point in time.",1992,0.4700833333333334,1990
"There are salient value systems to which most cultures subscribe, which in turn influence our understanding, diagnosis and treatment of mental_illness and consequently the allocation of resources and the provision of care within the community.",1992,0.43507692307692303,1990
as well as grouping factors of maternal mental_illness.,1992,0.49849999999999994,1990
"The authors review some statistical studies regarding the relationships between mental_illness and criminal behavior prior to, and following, the deinstitutionalization period.",1992,0.45116666666666666,1990
One facet of this development has been the advocacy of an increased focus on the primary prevention of mental_illness.,1992,0.45712500000000006,1990
"Studies that address the frequency, accuracy, and impact of mass media portrayals of mental_illness are reviewed.",1992,0.47066666666666673,1990
"Limitations, such as age of the studies and mixed attention to psychiatry, psychology, and mental_illness, however, leave a need for further such studies.",1992,0.44557142857142856,1990
"Investigations of the specific impact of media images of mental_illness support the belief that media presentations about mental_illness, including those in entertainment form, can have significant effects on attitudes toward mental_illness and treatment.",1992,0.4693571428571429,1990
"It considers first of all the circumstances of such families: their socioeconomic situation, and their beliefs about family life, mental_illness and seeking help.",1992,0.4805,1990
"The findings are taken to represent the kinds of valuable insights that may be garnered from an empirical-phenomenological approach to research built upon a recognition of the importance of the dimensions of intentionality, temporality, and meaning in the everyday life of those afflicied with severe mental_illness.",1992,0.4876666666666667,1990
"An untested assumption of malingering research is that persons who feign mental_illness will not attempt to fake a particular disorder, but will be content to fabricate non-specific and possibly global psychiatric impairment.",1992,0.4610555555555556,1990
The role of music therapy in the treatment of young adults with both mental_illness and alcohol/drug problems is discussed based upon the authors' experience with a National Institute of Mental Health demonstration project.,1992,0.46181818181818174,1990
Music therapy has been an important medium for helping these clients stabilize and improve their quality of life as they recover from mental_illness and alcohol/drug problems.,1992,0.49166666666666664,1990
Chromosomal abnormalities occurring in association with mental_illness provide a unique opportunity to study the interaction of genetic abnormalities and the brain in mental_illness.,1992,0.4917499999999999,1990
Hostels for the homeless contain many who are disabled by chronic mental_illness but have little access to rehabilitation services.,1992,0.443375,1990
"Because it exposes these female workers to such factors of instability and to the negative effects of key experiences, this program carries the seed of mental_illness.",1992,0.4635714285714286,1990
Staff members working in community facilities for patients with long-standing mental_illness were assessed using a modification of the Camberwell Family Interview designed to measure their attitudes towards their key patients.,1992,0.43466666666666665,1990
This characteristic is probably a salient feature of successful therapeutic relations with clients suffering from long-term mental_illness.,1992,0.4888333333333333,1990
"The attitudes assessed toward two vignettes included recognition of mental_illness, social distance, expected burden, expected influence on one's health, treatment choice, and prognosis.",1992,0.43407142857142855,1990
"One group of young patients had never had gainful employment, a second group had found jobs on the open labour market after onset of their illness, and a third group had been employed both before and after the onset of mental_illness.",1992,0.447,1990
The rate of isolation from working life was found to be influenced neither by professional qualification nor by the extent of vocational integration prior to the onset of mental_illness.,1992,0.4314545454545454,1990
The study examined the attributions concerning mental_illness of young psychotic out-patients participating in a rehabilitation programme.,1992,0.51075,1990
"Subjects replied to a personally administered questionnaire, designed to obtain ratings of importance for several causes of mental_illness, and a measure of how optimistic they felt about their future psychological health.",1992,0.4617,1990
"Of the 57 total cases, 39 experienced mental_illness of a severity requiring either inpatient hospitalization or outpatient therapy.",1993,0.4728,1990
"Specific interventions such as role modeling mental_health, identifying transference reactions, and addressing family systems process are easily and effectively made, without being onerous or threatening to patients with severe mental_illness.",1993,0.4569,1990
"To broaden the clinical context of the administrative findings, selected clinical characteristics of refusing patients, their attitudes toward mental_illness, reasons for refusing medication and satisfaction with court review will be described.",1993,0.48871428571428577,1990
"School problems, substance abuse, and antisocial behaviors were common in the sample, as were family histories of mental_illness or substance abuse.",1993,0.48844444444444446,1990
"The royal commissions on population, capital punishment, medical education, and mental_illness are highlighted.",1993,0.47100000000000003,1990
Knowledge concerning the care of persons with severe mental_illness is seldom translated into improvements in service delivery.,1993,0.4407142857142857,1990
Three cases are described in which patients with organic predisposing factors for the development of urinary incontinence showed an association between the degree of incontinence and the severity of their mental_illness.,1993,0.4801249999999999,1990
Various studies have shown an association between ABO blood groups and both physical and mental_illness.,1993,0.47780000000000006,1990
"We present a descriptive series of four clinical cases of the treatment of aggressive, as well as other severe behavior disorders, of adults with mental retardation and mental_illness.",1993,0.4460833333333334,1990
Considerations in the pharmacological treatment of severe behavior problems in persons with mental retardation and mental_illness are discussed.,1993,0.45249999999999996,1990
"Type of abuse was associated with demographic charaeten'stics, length of homelessness, mental_illness status, and primary expressed needs.",1993,0.43133333333333335,1990
"Use of a clinical sample will yield falsely high rates, because substance use is associated with exacerbation of mental_illness.",1993,0.4523,1990
The psychiatric symptoms which are common in active addiction generally clear within weeks to months of treatment for addiction but do not respond to standard psychopharmacologic treatment for primary mental_illness.,1993,0.458076923076923,1990
"Homosexuality has been considered a form of mental_illness, morally wrong and socially deviant.",1993,0.49099999999999994,1990
Meehl considered anhedonia from the point of view of a personality defect predisposing to mental_illness; and Klein regarded anhedonia to be a symptom of depressive illness and probably the best clinical marker predicting response to antidepressant drugs.,1993,0.47084615384615386,1990
It is suggested that depression is linked to patients' perception of controllability of their illness and absorption of cultural stereotypes of mental_illness.,1993,0.506,1990
"To test the effectiveness of this core or minimal educational module directed toward families of persons with a chronic mental_illness, an all-day educational workshop was conducted with family members (N = 22) who live with a relative with a schizophrenic illness.",1993,0.4951875,1990
"These were followed by activities aiming at four main goals: the standardization of psychiatric diagnosis, classification and statistics; the development of standardized internationally applicable instruments for the assessment of mental patients and of variables relevant to the assessment of mental_illness; the conduct of epidemiological studies of mental_disorders; and the training relevant to the above goals.",1993,0.5177058823529412,1990
"Possible applications are suggested of this demonstration to the general psychology topics of research methods, statistics, perception, and mental_illness.",1993,0.5026666666666667,1990
"New evidence suggests that alienation may be provoked by other than custodial matters, that cases of alleged sexual abuse may be hinted, that slow judgments by courts exacerbate the problem, that prolonged alienation of the child may trigger other forms of mental_illness, and that too little remains known of the long-term consequences to alienated children and their families.",1993,0.466,1990
One reason for this shift in policy was that the social problem of mental_illness had been captured by progressives in the community mental_health movement.,1993,0.51375,1990
The latter issues serves to reinforce the importance of care staff in recognising potential symptoms of mental_illness the main focus of this paper.,1993,0.430875,1990
It is concluded that appropriate training of care staff in the awareness of mental_illness symptoms would increase the proportion of intellectually disabled people receiving appropriate treatment.,1993,0.45384615384615395,1990
Survival analysis was used to relate the measures to patterns of attendance over time in a self-help group for persons with a history of serious mental_illness.,1993,0.44020000000000004,1990
"Data from a racially and ethnically heterogeneous random community sample of 1,784 adults were used to compare effects of reported parental alcoholism, parental mental_illness, both alcoholism and mental_illness, or no parental pathology.",1994,0.46064285714285713,1990
Ten MMPI-2 fake-bad scales/indexes are reviewed with respect to their potential usefulness in the evaluation of feigning mental_illness.,1994,0.483,1990
"Finally, recommendations are made regarding the measures that might be taken to increase the match between the principles of managed care and the specialized needs of people with severe mental_illness.",1994,0.46175,1990
"In spite of obstacles, the goodness of fit between the needs of persons with serious mental_illness and capitation flexibility warrant further exploration of this financing modality.",1994,0.4511,1990
The efficiency of cognitive-behavioural therapies in treating major mental_disorders is also reviewed in relation to the family's ability to achieve specific goals in therapy and to modify the outcome of major mental_illness.,1994,0.4928333333333333,1990
"This case study sets us on the right track: most Holocaust survivors are amazing and inspirational pictures of mental_health, rather than pictures of hopeless mental_illness.",1994,0.46740000000000004,1990
One factor that could potentially play a contributory role in mental_illness is the stress response.,1994,0.5041666666666668,1990
In both groups a majority had a chronic history of mental_illness with frequent prior compulsory hospitalisation.,1994,0.48816666666666664,1990
Mexican American parents (N = 32) and Ango American parents (N = 34) of an adult son/daughter with serious mental_illness were interviewed in order to identify factors related to their interest in attending a family support group.,1994,0.44788888888888884,1990
Challenges associated with behavioral training approaches for individuals with mental retardation and mental_illness in the community are reviewed in this article.,1994,0.4493333333333333,1990
"Historically, the perceived relation between mental_illness and mental retardation has undergone substantial changes.",1994,0.48599999999999993,1990
University students (55 women and 37 men) participated in a study of the relationship between multidimensional locus of control and attitudes toward mental_illness as measured by the five factors of the Opinions About Mental Illness scale.,1994,0.4328888888888889,1990
"The majority of patients referred to the Psychotherapy Unit were thought to have both a mental_illness and a personality disorder by their referring psychiatrists; and, in the majority of cases, the referring doctors believed that no treatment other than psychodynamic psychotherapy would help the patient.",1994,0.44906666666666667,1990
"Counseling preferences were based on the type of problem: religious counseling was preferred for marriage and family problems, and nonreligious counseling was preferred for mental_illness and addiction, but religious and nonreligious counseling were equally chosen for depression.",1994,0.4592857142857144,1990
"This study examines age-cohort differences in conceptually organizing, observing, and responding to unclustered symptoms of mental_illness.",1994,0.44766666666666666,1990
"The importance of the development of innovative randomized trials to improve recognition and treatment of mental_illness in primary care is emphasized, as well as the methodologic problems inherent in carrying out these trials.",1994,0.49770000000000003,1990
"In general, these trials have been more successful in improving detection of mental_illness and increasing the application of mental_health treatments by primary care physicians than in changing patient outcomes.",1994,0.4641,1990
Individuals with mental retardation are almost twice as likely to demonstrate severe behavioral problems or symptoms of mental_illness as are nonmentally retarded individuals.,1994,0.485,1990
This self-report scale is used to assess the likelihood that an adolescent with mild mental retardation or borderline intelligence has a diagnosable mental_illness.,1994,0.446,1990
There is a close relationship between impairment of global functioning and mental_illness.,1994,0.47924999999999995,1990
"Thirteen of the patients suffered from severe, chronic mental_illness and all but 2 had been known to the psychiatric unit for at least a year.",1994,0.4783333333333333,1990
Family burden reported by parents of offspring with severe mental_illness was examined to determine whether burden increases with age.,1994,0.469375,1990
