sentence,year,sentiment,epoch
"F. Herzberg's job factor theory, the concepts of coping and defending, and G. W. Allport's intrinsic and extrinsic religious orientations also depict similar dichotomies of mental_health and mental_illness.",1975,0.5959000000000001,1975
A distinction is made in the paper between school-based and community-based mental_health consultation.,1975,0.5880000000000001,1975
"The purpose of this study was to examine a model for investigating employee mental_health in industrial environments and, more particularly, to determine the extent to which a worker's perceptions of the environment covaried with mental_health criteria.",1975,0.6348999999999999,1975
"67 subjects comprising elementary school teachers, special educators, and parents of emotionally disturbed children rated each of 55 behavioral descriptors in terms of their importance for child mental_health.",1975,0.661,1975
Addicts' own experience and that of ex-addicts and other users were the most trusted sources; and mental_health professionals were significantly less credible than sources with personal drug experience.,1975,0.6102857142857143,1975
"The attitudes of a national sample of 774 clinical psychologists, 791 psychiatric social workers, and 581 psychiatrists were sampled in a closed-ended survey research format to determine: (a) the relative degree of communality there is among members of the mental_health team in the dispositional judgments they render; and (b) whether differential criteria are employed for placing a child patient in individual, group, or conjoint family therapy, or terminating from each of these modalities.",1975,0.6052500000000002,1975
Members of the mental_health team strongly agree about the differential relevance of specific criteria for each decision-making condition.,1975,0.6614285714285714,1975
"This paper describes a four-component procedure of clinical decision-making, developed by a group of senior child clinicians in an urban child mental_health center.",1975,0.6271111111111111,1975
A child mental_health data system will ultimately be developed.,1975,0.63,1975
The nature and importance of these parameters in self-disclosing behavior are discussed in terms of interpersonal functioning and mental_health.,1975,0.67275,1975
Recently there has been a shift toward prevention and mental_health.,1975,0.6194999999999999,1975
About 55 of mental_health variation was explained by the generalization model and 4 by the person by life area interaction.,1975,0.6405714285714286,1975
"Some limitations of crosssectional research strategy were discussed, stressing the need for other strategies in research on the relation between mental_health in different life areas.",1975,0.6113333333333333,1975
"With the increased amount of leisure time and ways to spend it caused by increased automation throughout the society, most individuals must facilitate utilization of their time to satisfy individual needs for proper maintenance of mental_health.",1975,0.6359411764705883,1975
"This is an investigation of the experience of a group of mental_health students who, as part of their training, participated in a four day non-residential Group Relations Conference composed of analytically oriented (Tavistock) and social psychologically oriented (NTL) groups.",1975,0.6663636363636365,1975
"Data are reported from an ongoing study comparing outcome in two groups of young, first-admission schizophrenics - one receiving usual treatment (including drugs) on the wards of a good community mental_health center, the other being treated by a non-professional staff (usually without phenothiazines) in a small home-like facility in the community.",1975,0.6130500000000001,1975
"During three academic years, 87 black students were counseled at the mental_health clinic of a private western university.",1975,0.6464285714285715,1975
The field of mental_health suffers from an abundance of technical jargon.,1975,0.57375,1975
"The major social issues that touch upon mental_health are debated in these technical terms, but persons most affected by the issues are left out of the debate.",1975,0.595875,1975
"Viewing this need, a course was developed to train seminarians in principles and practices of community mental_health.",1976,0.6628000000000001,1975
Paraprofessionals are increasingly being employed in the mental_health field.,1976,0.64,1975
"The interorganizational field of human services constitutes a turbulent environment, a condition of rapid change, and there needs to be greater receptivity toward comprehensive planning on the part of state departments of mental_health.",1976,0.6528461538461539,1975
Generalized findings of a study of 14 state departments of mental_health are presented.,1976,0.6075,1975
"Sixty mental_health professionals completed two scales: the Community Mental Health Ideology Scale (CMHI), and a scale rating the importance of, and personal interest in, a range of mental_health activities.",1976,0.6184666666666666,1975
This paper describes the rules for the proper implementation of a responsibility accounting system in a mental_health center.,1976,0.6476666666666667,1975
This paper describes the use of an empirically based evaluation system for the Crisis Service of a comprehensive community mental_health center.,1976,0.5773333333333334,1975
"Three hundred eighty-five advanced doctoral students from 102 training programs in clinical, clinical--community, and community psychology participated in as assessment of their training in community psychology/community mental_health (CP/CMH).",1976,0.6470000000000001,1975
"Carl G. Jung considers dreams as (a) aids to restoring and maintaining mental_health, (b) as scientific insights into psychic casuality, (c) as symbolic representations of one's actual subjective state and (d) as expressions of telepathic visions.",1976,0.6367272727272728,1975
Based on the premise that mental_health is our nation's number one health problem and the impression that emotional disturbance and giftedness are little understood by educators this study reviews the literature and research which links these exceptionalities.,1976,0.5598571428571428,1975
"In order to facilitate the independent role performance of psychiatric outpatients in a community mental_health center satellite clinic, withdrawal of social reinforcement was made contingent on clearly defined manipulativedependent telephoning behavior.",1976,0.6223125,1975
Interaction between mental_health professionals and the legal system has been essentially unproductive.,1976,0.5528,1975
"Evidence, attitudes, and opinions suggest the feasibility of utilizing parents as change agents to partially fill the increasing gap between supply and demand for children's mental_health service delivery.",1976,0.5949166666666666,1975
"More attention must be paid to the marriage and family unit in the mental_health field (Haley, 1975), however, working exclusively with that unit and ascribing the cause of behavior solely to the interpersonal system would only perpetuate another kind of onesidedness.",1976,0.6413333333333334,1975
"The team includes the physician, nurse, psychologist, social worker, child-life specialist, consulting psychiatrist, and ward teacher, who work together towards a positive mental_health approach to the hospital experience.",1976,0.663625,1975
This paper will examine the relationship of a town-supported mental_health program and the town's public school system.,1976,0.6426666666666666,1975
The mediating effect of organizational time investments on the relationship between work environment perceptions and mental_health was explored in two work settings.,1976,0.6635714285714285,1975
Previous research in college student mental_health indicates that most psychological problems stem from the academic area of the student's life.,1976,0.6332000000000001,1975
The findings raise questions about the predictive power of this scale when a variety of mental_health professionals are studied.,1976,0.6488333333333333,1975
On site interviews with these workers and their supervisors revealed that they were performing virtually the entire range of traditional mental_health service functions and performing them well.,1976,0.6351666666666668,1975
The implication of such training offered independently of any mental_health relationship for the profession of psychology is discussed.,1976,0.6235,1975
"Client transfers were examined within the context of a large, urban community mental_health center.",1976,0.6286666666666667,1975
Five hundred ninety-five staff at 20 CMHCs were surveyed as part of a large study of mental_health worker roles.,1976,0.6568571428571428,1975
Data on the endorsement of the ideology of community mental_health (CMHI) were obtained.,1976,0.66425,1975
The results of psychotherapy outcome research to date are briefly reviewed and the reasons why this research has not had greater impact on the practice of psychotherapy in mental_health service agencies are presented.,1976,0.5948333333333334,1975
Involving mental_health practitioners in field research is proposed as a means of increasing the relevance of psychotherapy outcome research to service personnel.,1976,0.6283333333333334,1975
"Referrals were analyzed by source (75 were legal referrals), percentage completing the program (70, 72, and 69 for self, legal, and mental_health referrals), and success at one year.",1976,0.6436999999999999,1975
This study examined the relationship between the number of client contacts with a mental_health center and the client's evaluation of the services.,1976,0.611,1975
"The sample consisted of 348 participants, including 227 hospital employees and 121 employees of community mental_health centers.",1976,0.5735,1975
The results indicated that occupational groups of both the hospital and the community mental_health centers were highly differentiated in their opinions about mental_illness.,1976,0.5519999999999999,1975
The inability to attract adequate numbers of psychiatrists has been a concern of community mental_health (CMH) planners for some time.,1976,0.5442857142857143,1975
The paper concludes by examining the social policy implications for community mental_health staffing of the primacy of utilitarian considerations among psychiatrists.,1976,0.6008333333333334,1975
"Second, assuming that they can, are such ratings a valid measure of mental_health for the same sample at a later point in time?",1976,0.58875,1975
"Third, what is the relation between mental_health ratings made in 1954 and such subsequently reported behavioral outcomes as nervous breakdown, mental hospitalization, or seeking professional help for emotional problems?",1976,0.5630000000000001,1975
"Implications of the findings for mental_health professionals (psychiatrists, clinical and counseling psychologists) are briefly discussed.",1976,0.5633333333333334,1975
"Using this approach, the author did a twoyear followup study of effects on children referred to a community mental_health clinic; 86 showed sustained improvement.",1976,0.669,1975
"The purpose of the present study was to do a canonical correlation analysis of demographic information and the Behavior Problem Checklist (BPCL) in order (a) to employ the demographic information in a manner that had not been possible using other methods, and (b) to examine the four factors on the BPCL as a general measure of mental_health and mental_illness.",1976,0.6163913043478261,1975
"The relationship between type of educational institution and the prescription of medication to elementaryaged children with behavioral problems was examined with questionnaire data obtained from school psychologists, administrators, and mental_health professionals.",1976,0.6116363636363636,1975
It is the existence of this association in people suffering from chronic mental_illness that would benefit from services of a mental_health center in the Metropolis.,1976,0.5646666666666667,1975
"The community mental_health center Centre de sant mentale communautaire (CSMC) , while opening in a sector previously deprived of psychiatric services, started to repatriate patients whose treatment was until then assured by a psychiatric hospital with an asylum vocation.",1976,0.5481538461538462,1975
"In this article, he underlines his perception of difficulties and satisfactions mental_health professionals can experience within a general hospital setting.",1976,0.5678571428571428,1975
"As part of a larger study of social change, an investigation of a representative sample of 111 middle class and 64 lower class subjects of early adult age in Santiago, Chile, included several indices of mental_health.",1976,0.6311249999999999,1975
Malaysia is a developing country with a new psychiatric service and the brunt of mental_health care is still borne by the indigenous healers of the three main cultures.,1976,0.6095,1975
Thirthy psychiatrists in private practice and thirty-eight experienced clinicians from a community mental_health center were presented with four psychiatric case descriptions.,1976,0.5872499999999999,1975
This latter population typically does not receive mental_health services.,1976,0.6413333333333333,1975
"The framework is extended into the area of mental_health planning, as well as behavioral science practice.",1976,0.6138571428571428,1975
"A survey of staff members and training-program directors suggests that inter-disciplinary functioning is the rule rather than the exception in community mental_health centers, although there are significant differences by profession in time spent in interdisciplinary work and in attitudes toward it.",1976,0.6001818181818183,1975
Increasing theoretical evidence suggests that assessment procedures in themselves may have deleterious effects on mental_health intervention.,1976,0.560125,1975
"Prevention programs in mental_health have been developed slowly, in part due to an inadequate understanding of primary, secondary, and tertiary prevention.",1976,0.6012727272727273,1975
"This paper outlines a method of working with troubled children that draws upon structural family therapy, school consultation, patient advocacy, and community mental_health work.",1976,0.6397999999999999,1975
An initial sample of individuals from the population is asked to give reasons why someone might need to be examined by a professional person in the field of mental_health.,1977,0.6351,1975
"Community mental_health center (CMHC) outpatient clients' satisfaction and perceived problem improvement were assessed by telephoning 108 clients, representing 40 of clients discharged during the period under investigation.",1977,0.5736666666666665,1975
Data from two studies are presented and related literature is reviewed in an effort to identify current issues of concern to mental_health continuing educators.,1977,0.5866666666666667,1975
"Fifteen eighth-grade students, their parents, teachers, and relevant school administrators received a multilevel systems consultation from a community mental_health center.",1977,0.6675714285714286,1975
"For 62 programs offering master's or doctoral training, formal curriculum components in each of five content areas (community systems and behavior, prevention or promotion of effectiveness, practice of community mental_health, research and evaluation, and administration) are reported.",1977,0.6730555555555554,1975
"Also described is a survey in four centers of 93 community mental_health workers, indicating that such workers are receptive to the use of such economic indicators but not well-informed about them.",1977,0.6221428571428572,1975
"To assess consumer needs for and attitudes toward mental_health services within law enforcement agencies, a questionnaire composed of a comprehensive list of mental_health services potentially available to police departments was administered to populations of police officers and mental_health workers.",1977,0.6083636363636364,1975
"Generally, police officers seemed receptive to several kinds of mental_health service, although they were less enthusiastic about the value of the services than professionals.",1977,0.6368571428571429,1975
"The implication of these data for the community mental_health worker are discussed in terms of establishing and maintaining effective, mutually satisfying relationships with law enforcement agencies.",1977,0.6708000000000001,1975
"With growing emphasis for ethical behavior of professionals in contemporary American society, those mental_health specialists involved in the community must focus on their own behavior.",1977,0.6596666666666667,1975
Nine areas of conflicting values and ethical concerns are considered in an effort to begin formulation of a blueprint for community mental_health workers.,1977,0.5991428571428571,1975
Dealing with the range of events encountered by mental_health professionals requires both anatomic/physiologic and psychologic/behavioral viewpoints.,1977,0.607,1975
This paper seeks to supplement the A.P.S. working party views by considering in some detail the role of the psychologist in traditional mental_health services and associated fields.,1977,0.633875,1975
"On the basis of the A.P.S. report, information compiled from the questionnaires, discussion with colleagues; and from personal experience in the mental_health field, opinions are advanced on future roles and manpower in psychology.",1977,0.6658181818181818,1975
The authors surveyed graduate counseling students regarding their attitudes toward homosexuality: its etiology; the mental_health of homosexuals; the role of the mental_health professional in treating homosexual clients; and myths and fallacies surrounding homosexuality.,1977,0.6635000000000001,1975
Pre- and posttest scores were obtained for 40 mental_health professionals attending an all-day workshop on RET.,1977,0.5625,1975
There has been an associated delivery of more family-oriented mental_health services throughout the Commonwealth.,1977,0.667,1975
Implications were offered concerning the training of mental_health workers.,1977,0.6479999999999999,1975
"The procedure was easily taught to and administered by parents, emphasized maximum participation by the youths in the treatment program, maximized the use of the limited time a mental_health clinic therapist has with individual clients, stressed positive and educative approaches rather than punitive ones, and was both rapid and effective in reducing encopretic behaviors.",1977,0.6003333333333333,1975
"A fifty percent sample of the 1972 population of terminated cases at a comprehensive mental_health center was examined for utilization and referral patterns of Black, MexicanAmerican and Anglo clients.",1977,0.609,1975
"A followup telephone survey of clients discharged from a community mental_health clinic indicated a high degree of agreement between contacted clients and their clinicianadvisors concerning the readiness of clients for discharge, the number and effect of nontreatment therapeutic events, and the frequency with which clients seek alternate psychiatric services after discharge.",1977,0.5789411764705883,1975
"During the past few years there have been important developments in two related fields, i.e., community psychology as it affects the delivery of mental_health services and behavior modification as an approach for understanding etiology and treatment of mental_disorders.",1977,0.6435333333333334,1975
"Nonetheless, while knowledge about difficulties encountered by clients who are reaching old age, facing the death of loved ones, as well as confronting loss of their own life has been accumulating, implications which such information has for community mental_health remain largely unexplored.",1977,0.55475,1975
"Accordingly, implications are derived for mental_health personnel functioning in educational, governmental, and community settings by examing the social psychological consequences of aging in America, pertinent aspects of dynamics of emotional reactions to loss of loved ones, and personal and cultural attitudes toward death which influence clients' coping strategies.",1977,0.5816666666666667,1975
"Children from small families, referred to a school mental_health program, scored as significantly more maladjusted than referred largefamily children on Aggression and Actingout problems.",1977,0.6126666666666666,1975
Systematic evaluation of mental_health consultation is an essential component of mental_health program development.,1977,0.6500000000000001,1975
The Public School Consultation and Education team of a community mental_health center developed a mailout questionnaire composed of both objective and openended items.,1977,0.6680909090909091,1975
"They revealed a pattern which was highly similar for the two groups, although they differed in socioeconomic status, as well as marital, education, vocational, and mental_health status.",1977,0.6475714285714286,1975
Changes in the state law and training of professionals in local mental_health centers were made to enhance the establishment of a statewide system of local mental_health services to criminal and circuit courts.,1977,0.5826363636363636,1975
The result was deemphasis of maximum security hospitalization in a single isolated unit in favor of mental_health center services.,1977,0.61275,1975
The model is recommended for implementation in other jurisdictions to extend traditional mental_health professional skills in services to a population long ignored.,1977,0.6272857142857144,1975
Thirty semirural first married couples asking specifically for marital counseling from a small community mental_health center were administered Cattell's Sixteen Personality Factor Questionnaire (16PF) as part of the intake procedure of the agency.,1977,0.629625,1975
"This article describes a demonstration/research project, funded by NIMH in 1971 to test the feasibility of a community mental_health center using behavioral technology as its primary intervention strategy.",1977,0.6232727272727273,1975
"The following has occurred: The HuntsvilleMadison County Mental Health Center has tested the model of behavior modification as a primary intervention technique for a community mental_health center, Staff of all levels have been successfully trained in its use, The community's caregivers have generally accepted and used this approach, The Center's clients have benefited as a rule, The communityatlarge has generally accepted the model, and The Center and community have come to appreciate accountability as the keystone of service delivery.",1977,0.6426571428571429,1975
"This article is an investigation of a new and relatively controversial development in the field of community mental_health, the telephone hotline.",1977,0.6462222222222221,1975
This paper discusses the change in services as a suburban community mental_health center divided from a central office unit into specific geographical units.,1977,0.5484545454545455,1975
This paper proposes that prior to developing community mental_health programs in established medical centers it would be beneficial to examine the institution in which the programs must exist.,1977,0.6456153846153847,1975
This paper reviews the development over a period of five years of a community mental_health center and particularly of its consultation and education division based on a conceptual framework presented by the author several years ago.,1977,0.6020714285714286,1975
Subjects were 354 former outpatient clients from a community mental_health center.,1977,0.551,1975
"With increasing numbers of individuals being returned to the community from mental institutions, diverse community mental_health center based aftercare programs have emerged to potentially meet the needs of these individuals.",1977,0.6397499999999999,1975
"A large percentage of the patients who come to an adolescent medical clinic manifest some degree of psychological distress, but often these patients initially prefer to see their problems as medical and so do not seek the services of a mental_health practitioner.",1977,0.5861875000000001,1975
The case example presented demonstrates one important function which a specialist in mental_health can serve in a general medical clinic.,1977,0.6329090909090909,1975
This writer proposes that functional integration of clinical psychology and Christian theology requires a consideration of the relationship between holiness and mental_health.,1977,0.6654444444444445,1975
The attempt to develop a limited conception of mental_illness (Flew) shows some promise but has received little support from the mental_health professions.,1977,0.623,1975
The respiratory state and mental_health of a group of 47 asthmatics and 43 matched non-asthmatic controls have been compared using standardised interview and respiratory function assessments.,1977,0.5941428571428571,1975
"An ecological view of psychological services to preschool children is described here as a proactive, seeking-out, mental_health delivery system that concentrates its effort on prophylactic activities rather than the diagnosis recommend or diagnosis psychotherapy ritual.",1977,0.6461333333333333,1975
School-based and other mental_health consultants are confronted with consultees who must adjust to the process of consultation by learning the parameters of the interaction.,1977,0.5965714285714286,1975
"In a sample of 54 middle managers, significant moderator effects were found for the mental_health indices of self-esteem, life-satisfaction, and overall mental_health and for satisfaction with supervision.",1977,0.6232222222222222,1975
"One hundred ambulatory adults of each gender were interviewed on a downtown street in Washington, D.C. Each ranked for prestige an alphabetical listing of 10 mental_health disciplines and further indicated whether they would prefer to consult for an emotional problem a male, female, or either professional in each of the fields.",1977,0.6156153846153847,1975
The author concludes that the therapeutic community concept and its philosophy of treatment provide a viable alternative to traditional mental_health policy and practice and have the capacity to become the conceptual framework for future residential treatment.,1977,0.669421052631579,1975
Implications for the role of the nurse in a network of mental_health service delivery were discussed.,1977,0.6212,1975
"Evaluated the effectiveness of the Zax Information Profile (ZIP), a personality test based on general fund of information, in discriminating between college students who sought mental_health services and those who did not, Three successive classes of freshmen students at the Eastman School of Music of the University of Rochester were administered the ZIP.",1977,0.6478823529411765,1975
"The author proposes that an adequate appreciation of the American mental_health movement will require, ultimately, an appreciation of the concurrent developments in the histories of related professions (e.g., asylum psychiatry, neurology, social work, and public mental_health).",1977,0.6265,1975
The Sexual Problems Check List was derived by reviewing therapists' treatment summaries and 146 recent answers to applications written by patients themselves as the first step in applying for treatment at a university mental_health clinic.,1977,0.5920909090909091,1975
Data were then obtained from 52 subsequent student mental_health clinic patients; such patients were selected as the sample because they were late adolescents and young adults thought likely to exhibit a broad range of clinically significant probelms.,1977,0.5831666666666666,1975
"In direct opposition, our own results, based on two independent field studies, one sampling 76 mental_health workers, the other 204 elementary school children, concluded that individuals low in self-perception are more empathetic and more humanly treat a stimulus person while those high in perception of self dehumanize and detach themselves from the stimulus person.",1977,0.615,1975
Correlations between subtest scores on the knowledge test and various attitude factors suggested possible differential relationships between certain types of mental_health knowledge and specific attitudes.,1977,0.6620999999999998,1975
"Group 1 (N = 112), a representative high school sample in a rural North Carolina community, had significantly lower alienation scores on anomie than Group 2 (N = 50), adolescents referred to the community mental_health center.",1977,0.5967857142857144,1975
Stress in the lives of 39 subjects being admitted to the adult outpatient clinics at a large mental_health center was measured by the Social Readjustment Rating Scale.,1977,0.5632727272727271,1975
"Using factor analysis, this study investigated whether any relationships existed among 23 demographic variables derived from the admission records of the 336 patients admitted to a community mental_health center during its first year of operation.",1977,0.6393636363636364,1975
"The mental_health of a migrant group is determined by factors relating to the society of origin, factors relating to the migration itself, and factors operating in the society of resettlement; and all three sets need to be considered if one seeks to reduce or merely to understand the level of mental_disorder in any immigrant group.",1977,0.5871999999999999,1975
The published work relating to effects of noice on man and animals is reviewed from the standpoint of mental_health.,1977,0.61025,1975
"In fact community mental_health programs did produce a decrease in the hospitalized psychiatric population, a higher quality of hospital services, a change in the laws relating to the mentally ill, and an improvement in treatment, personnel competence as well as a stability in real health costs.",1977,0.6296111111111111,1975
"Female (n=75) and male (n=55) community mental_health center psychotherapists and feminist therapists (n=82) were given the Rosenkrantz, Vogel, Bee, Broverman, and Broverman (1968) Sex-Role Stereotype Questionnaire and were asked to rate either mentally healthy adults, females, wives, or mothers.",1977,0.5582857142857142,1975
"Female community mental_health center therapists and feminist therapists were found to maintain one standard of mental_health; that is, their perceptions of mental_health for adults, females, wives, and mothers did not differ.",1977,0.6221428571428572,1975
The immigrants' mental_health level is similar to that of the native French Canadians.,1977,0.6063333333333334,1975
Approximately 15 per 1000 of the Dutch population are under the care of the combined mental_health services on an average day.,1977,0.6651666666666667,1975
It was concluded that the pre-scientific psychotherapist is not simply a comfortable habit but represents a dynamic approach to psycho-social disorders which must be considered in conjunction with western practices in future mental_health planning.,1977,0.6705454545454547,1975
Research and delivery of services are complementary and not alternative activities in achieving objectives of mental_health programmes.,1977,0.6697500000000001,1975
"Because of their traditional base as the primary, and frequently only, available emergency field service in a community, a mental_health emergency program must have a cooperative working relationship with law enforcement to serve a community successfully.",1977,0.63215,1975
A peer rating system was devised in response to a request from members of a community mental_health team for a positive method of self-evaluation.,1977,0.6703333333333332,1975
A small sample of adolescents hospitalized in a public mental_health facility received family therapy while a control group received individual therapy.,1977,0.62075,1975
"As the crisis of women who have been raped is more frequently brought to the attention of mental_health workers, male counselors are increasingly being confronted with responsibility for aiding female victims.",1977,0.6173333333333333,1975
"Contrary to the predisposition of many mental_health professionals, this paper contends that insight-oriented, dynamically-based, individual psychotherapy is an effective treatment modality with the institutionalized elderly.",1977,0.5832499999999999,1975
The dual nature of the mental_health profession--embodied in the differences between advocates of social and clinical approaches to people's problems--is considered.,1977,0.6031428571428571,1975
"This paper discusses the role of the mental_health professional in helping child, parents, and siblings manage outpatient care, emphasizing resumption of normal activities and productive patterns of coping.",1977,0.6501818181818182,1975
"Transsexuals, as a client group, are increasingly coming to the attention of mental_health professionals.",1977,0.63725,1975
"A sample of 44 male and female adults, newly admitted to outpatient clinics at a large community mental_health center, was given the Denver Community Mental HEALTH Questionnaire on social functioning, the abbreviated version of the Minnesota Multiphasic Personality Inventory, the Social Readjustment Rating Scale, and the Taylor Manifest Anxiety Scale.",1977,0.6003636363636364,1975
"Flashbackers, non-flashbackers, and non-drug taking controls were compared on self-descriptive adjectives, extent they sought help for mental_health problems, and various demographic data.",1978,0.5556,1975
This study tested the potential utility of social indicators and survey data in the prediction of community mental_health sevice utilization and construction of a model of community need.,1978,0.6581538461538461,1975
"The strength of these forces were unevenly distributed, and disadvantaged areas were most likely to have higher rates of mental_health center utilization rates, although to a lesser extent than the social indicators.",1978,0.6662000000000001,1975
"The social indicators appeared to identify best where to look in the community for highrisk populations, while the survey data showed what to look for as mental_health problems for the people of a given locale.",1978,0.6402222222222222,1975
A sample of psychiatrists (n = 72) working in 20 community mental_health centers (CMHCs) representative of the organizational and catchment area characteristics of operating Centers were queried as part of a larger study (n = 595) of community mental_health worker roles.,1978,0.6719,1975
An examination was made of the services received by Chicano and Native American clients in 17 community mental_health facilities.,1978,0.60225,1975
An innovative mental_health primary and secondary prevention program employing mass media was conducted in the Louisville metropolitan area.,1978,0.5815555555555556,1975
"For 60 weeks during public service announcement time slots, 21 educational mental_health and mental retardation messages were aired on local major radio and television stations.",1978,0.5922727272727273,1975
"Systematic evaluation, based on data from client-initiated telephone contacts and surveys of the community, indicated that the project appeared to be successful in increasing awareness and utilization of community mental_health resources.",1978,0.6705833333333334,1975
Implications and future directions for the utilization of mass media in community mental_health are discussed.,1978,0.6316,1975
"Clients' expectations about mental_health care, particularly differences in these expectations as a function of social class, and the relationship of discrepancies between expectations and perceptions to treatment outcome, is examined in this study with 317 Caucasian clients.",1978,0.672,1975
Discussion of ethical issues which concern community psychologists and other mental_health professionals has generated new emphasis on the psychiatric client as consumer.,1978,0.5529000000000001,1975
"Avoiding many of the problems of citizen mental_health advisory boards, client boards ensure continued and systematic client evaluation of community mental_health services.",1978,0.5940833333333333,1975
Efforts of one community mental_health center to develop a system of program evaluation designed to meet criteria mandated by recent Federal legislation are described.,1978,0.6318333333333332,1975
"In the context of the community mental_health movement in Illinois, the evolution and development of a crisis intervention program aimed at avoiding state hospitalization and bringing more appropriate and efficacious resources to bear on the difficulties of the individual and/or family is described.",1978,0.5944705882352942,1975
This intervention program is characterized by a more active-seeking style of delivering mental_health services.,1978,0.5646666666666667,1975
In this study social indicators and survey measures were used to predict 3-years of service utilization by the residents of 26 census tracts served by a community mental_health center.,1978,0.6096,1975
"Ten social indicators were selected from available census tract statistics, and seven survey measures were taken from an epidemiological survey of the catchment area of the mental_health center.",1978,0.6032,1975
The results showed that mental_health utilization rates can be predicted with considerable accuracy by social indicators and survey measures.,1978,0.6481428571428571,1975
Informed citizen advisory boards are vital to the operation of community mental_health programs.,1978,0.6105714285714285,1975
"One hundred-seventy-three mental_health centers responded to a survey inquiring about allocation of staff time for mental_health services and about the availability of an array of services at present, 3 years previous, and 3 years hence.",1978,0.6185,1975
"Data about specific programs and services further suggest de-emphasis of services that involve the mental_health professional and the client in direct interaction, and continued growth in services that can be delivered by less formally trained mental_health workers or volunteers.",1978,0.6678666666666668,1975
"A comparison is made between the main objectives of the community mental_health movement in the United States and the major thrusts of current OD practice, showing how the foci of the two fields are essentially similar.",1978,0.6570000000000001,1975
The psychological aspects of OD are presented in their relation to mental_health.,1978,0.5673333333333334,1975
"Two-thirds of the work week is taken up directly or indirectly with traditional clinical services, 19 with community mental_health activities; and the balance in program development, administration, research, and program evaluation.",1978,0.6286923076923077,1975
"In contrast to the common assertion linking psychologists and research activity, the current results indicate that psychologists in community mental_health centers devote very little time to research or program evaluation.",1978,0.6178571428571429,1975
Expressed training needs parallel reported activity patterns - highest for clinical functions and moderately high for community mental_health functions.,1978,0.6163333333333333,1975
This study questioned whether significant community groups might indirectly influence the program evaluation record-keeping of mental_health outpatient programs to reflect contact with problem areas considered important by those groups.,1978,0.5928181818181819,1975
An inventory of program evaluation materials was conducted in three types of mental_health programs.,1978,0.5966,1975
Successful implementation of projects in mental_health centers aimed at meeting programmatic needs and exploring theoretical issues encounter a number of difficulties.,1978,0.6111666666666667,1975
This paper discusses a model for conducting significant theoretical and applied research in mental_health centers.,1978,0.6404,1975
The Consultation Readiness Scale is designed to facilitate mental_health and other forms of human services consultation.,1978,0.64175,1975
The screening efficiency of two measures of school-adjustment is considered by assessing the proportion of children referred to a school mental_health program whose scores fall at or above the 85th centile on one or both measures.,1978,0.5921,1975
The self-disclosure styles of Mexican Americans and their possible role in the limited participation of Mexican Americans in mental_health services were explored.,1978,0.5625,1975
This paper is a descriptive research effort aimed at identifying a profile of the client who is not accepted for community mental_health services.,1978,0.6485714285714286,1975
This paper presents a summary of a national survey of the utilization and evaluation of self-help groups by outpatient mental_health facilities making and receiving referrals from self-help groups.,1978,0.599,1975
The remainder of the findings were in the opposite direction from comparable studies where the source of help was a mental_health professional and the circumstances for seeking help are unspecified.,1978,0.5635000000000001,1975
The on-line computer-assisted psychiatric system has been shown to be effective in bringing about an improvement in mental_health service delivery.,1978,0.6447142857142857,1975
Treatment services for preschool children with emotional problems is a neglected area in the network of mental_health facilities.,1978,0.5992857142857142,1975
