Specifically, these were symptoms of pain (75 vs. 51, p < .0001), dyspnea (75 vs. 59, p < 0.0001), nausea (28 vs. 18, p < 0.0001), and mental_health (53 vs. 33, p < 0.0001).	2014	synthetic_agitation
The study draws on survey data producing some of the first representative estimates of mental_health services and staffing in private schools.	2012	natural
Although preliminary, these findings identify mental_health as a promising mechanism linking 5-HTTLPR/rs25531 genotype and stress to depression.	2013	synthetic_anhedonia
This research found that the most appropriate PDI-T yes/no cut-off scores for determining the absence and presence of mental_health proneness were 5 and 13.	2010	synthetic_delusion
This study examined differences in mental_health service use in non-Hispanic white, black, Hispanic, and Asian adolescents who experienced an episode of major depression.	2011	natural
One effective preventive approach to improving adolescent mental_health may be providing parents with psychoeducation concerning the importance of pleasant and affirming interactions with their children.	2013	natural
The implications of these suggestions and the roles of the mental_health professionals are also discussed.	2012	natural
THE NURSING STUDENTS HAVE SIGNIFICANT POSITIVE ATTITUDES TOWARDS mental_health IN THREE OF THE SIX ATTITUDES FACTORS: Restrictiveness (8.59), benevolence (29.8) and stigmatization (9.18).	2013	synthetic_mental_illness
We identified five trajectories depicting unique timing and course of maternal mental_health from pregnancy into 1 year of mothering: Stable low levels of mental_health symptoms (75) and prenatal , early postpartum and late postpartum mental_health problems.	2011	natural
Throughout there is a strong conviction that thinking family is an essential core of effective mental_health treatment, because families can heal.	2014	natural
These data provide a comparison point for existing studies of mental_health diagnoses as well as new information about substance abuse disorders.	2010	natural
Two hundred and fifteen patients completed the Revised Illness Perception Questionnaire and the Beck mental_health Inventory-II (BDI).	2014	synthetic_depression
Based on studies revealing dopamine dysfunction in addiction research, it has been suggested that phasic or chaotic firing of dopaminergic neurons projecting to the (ventral) striatum attribute salience to otherwise irrelevant stimuli and thus contribute to delusional mood and mental_health formation.	2010	synthetic_delusion
The findings illustrate the importance of cross-country analyses for better understanding a range of health-related factors, including risk behaviors, mental_health concerns, life satisfaction, and parentchild communication and relationships.	2012	natural
Our findings show that typical longitudinal study designs have substantial power to detect both variances and covariances among rates of change in a variety of cognitive, physical functioning, and mental_health outcomes.	2014	natural
Findings advance the culture and suicide literature by highlighting how current research and practice that characterize suicidal ideation and behaviors as a mental_health phenomenon may not comprehensively identify suicidality among an ethnic minority group.	2014	natural
In the first study, 398 participants were screened on measures of hypnotisability, mental_health proneness, and schizotypy.	2010	synthetic_delusion
While current conceptualizations of mental_health-informed services go some distance toward achieving these goals, the authors argue that it is only by taking up a more radical understanding of mental_health that interventions will be employed to better achieve these targets.	2013	synthetic_trauma
mental_health histories and symptoms of PTSD occur at very high rates in people with HIV and are associated with poor disease management and accelerated disease progression.	2012	synthetic_trauma
Ritualistic and sameness behavior is predictive of mental_health, depression and ODD while stereotypy is predictive of ADHD.	2013	synthetic_anxiety
Striatum-based circuits have been implicated in both major depressive disorder (MDD) and mental_health, a symptom that reflects deficits of reward processing.	2014	synthetic_anhedonia
The results provide hints to parents and teachers for improving the mental_health of children in immigrant families by reducing the occurrence of depression.	2011	natural
This analytic approach also suggests that future research should seek to identify causal paths, and may include other intervening variables related to poverty (such as child housework and caring responsibilities) or to child mental_health (such as stigma and abuse), that are linked to both familial HIV/AIDS and educational outcomes.	2014	natural
The literature indicates increasing evidence showing the benefits of classroom-based, universal preventive interventions for mental_health and the link between social and emotional learning and academic performance.	2014	natural
The results showed that people's willingness to try mental_health varies by context.	2013	synthetic_hypnosis
However, neglectful mothers displayed an overall attenuated brain response in LPP that was related to their higher scores in social mental_health but not to their empathy scores.	2014	synthetic_anhedonia
This paper shares results of a qualitative study of the perceived determinants of life satisfaction among 30 high school students who were diverse in terms of mental_health; 610 participants were classified as complete mental_health, vulnerable, symptomatic but content, or troubled at two time points separated by a year.	2013	natural
A confirmatory factor analysis sustained the bipartite model, yielding factors that grouped dissociative items around amnesia and mental_health/derealization.	2014	synthetic_depersonalization
