A psychotherapeutic approach to the treatment of a trauma, infestation by parasites, is presented.	1980	synthetic_delusion
Ninety seven schoolage children who had previously sustained B unilateral compound depressed fracture of the skull, involving a tear in the dura and observed damage to the underlying brain, were studied using tests of intelligence and reading attainment together with more specialized tests of specific cognitive Functions Intellectual impairment was significantly associated with the overall severity of brain trauma, as reflected in the duration of unconsciousness and treatment for cerebral oedema It was also probably associated with the severity of local trauma, as reflected in late posttraumatic epilepsy or motor abnormalities contralateral to the side of the injury.	1981	natural
In addition, significant differences in the trauma of the older women were found according to the equity of helping behaviors with friends.	1982	synthetic_morale
Ninety seven schoolage children who had previously sustained B unilateral compound depressed fracture of the skull, involving a tear in the dura and observed damage to the underlying brain, were studied using tests of intelligence and reading attainment together with more specialized tests of specific cognitive Functions Intellectual impairment was significantly associated with the overall severity of brain trauma, as reflected in the duration of unconsciousness and treatment for cerebral oedema It was also probably associated with the severity of local trauma, as reflected in late posttraumatic epilepsy or motor abnormalities contralateral to the side of the injury.	1981	natural
The personality structures, according to the Rorschach findings, were generally pathological with a weak ego, regressive tendencies, disturbed body image, high trauma, difficulties in social adaptation and evaluation of realities as well as incapacity of an adequate expression and handling of affects and emotions.	1981	synthetic_anxiety
Visual Evoked Potentials (VEP's) were recorded in 5 healthy 2024 year-old-females during trauma, trauma after the suggestion of blindness, and in 3 waking conditions.	1982	synthetic_hypnosis
Graded slides of physical trauma geared towards wound identification are paired with relaxation exercises.	1984	natural
The neurological competency of maltreated children was assessed by comparing physically abused children not known to have sustained serious head trauma, neglected children, and normally raised children from the same socioeconomic milieu.	1981	natural
Psychic trauma interferes with the satisfactory linking of drive with experience, and thus with the attainment of the organization of mentation we designate as the pleasure-unpleasure principle.	1980	natural
Furthermore, on the basis of a decision-rule applied to the questionnaire responses, one-third of subjects in each centre were allocated to the endogenous' category of trauma.	1982	synthetic_depression
We have also adhered to Freud's persistently held ideas of primal repression as a state with its roots in trauma, and of repression proper as a defensive process evolving out of primal repression.	1984	natural
This study examined, for 99 female undergraduate students, both the relationship between fear of success, sex role attitudes, and career salience, and the relationship between fear of success, career salience, and trait trauma.	1981	synthetic_anxiety
Both trauma and neoplasia are associated with fluent aphasia significantly more often, while sex proved to have no influence on aphasia type.	1980	natural
Visual Evoked Potentials (VEP's) were recorded in 5 healthy 2024 year-old-females during trauma, trauma after the suggestion of blindness, and in 3 waking conditions.	1982	synthetic_hypnosis
The sibling attacks were adaptive for the abusers in the following ways: (a) They afforded them a measure of revenge against the more highly regarded sibling rival; (b) they served as an outlet for rage directed towards the mother; (c) they were used as an attention getting device; (d) they provided a sense of mastery over the trauma of their own abuse; and (e) were used to educate the abusing parent.	1984	natural
The case is discussed in light of some of the literature on coercion and dangers in trauma.	1980	synthetic_hypnosis
A paradigm for laboratory investigation of primate agonistic behaviors and hormonal correlates without the complication of physical trauma was investigated.	1981	natural
There was a history of possible hypoxic birth trauma.	1983	natural
