Clinically significant mental_illness was present in 8 (n = 18) of patients.	2011	synthetic_agitation
NCI scores were positively associated with job satisfaction, mental_illness, organizational commitment, and retention intentions.	2011	synthetic_morale
Previous findings with clinical populations support that persecutory mental_illness reflects a defense against low conscious SE.	2011	synthetic_delusion
mental_illness-related attentional biases and familial risk play important but independent roles in childhood mental_illness disorders.	2011	synthetic_anxiety
Parents with mental_illness face a multitude of life challenges including, but not limited to, parenting difficulties, medication and hospitalization, custody and placement of their children, financial constraints, and substance abuse.	2011	natural
Stigma a process that objectifies and dehumanizes a person who has mental_illness diminishes peoples ability to control their behavior as coping with stigma requires self-regulation.	2014	natural
During mental_illness, the authors tested repeated weight-related, literal and metaphorical suggestions about the heaviness of the subjects' arms.	2012	synthetic_hypnosis
For mental_illness, when resources were high, demands were positively associated with mental_illness; there was no relationship when resources were low.	2014	synthetic_morale
This article examines the relationship between mental_illness stigma and culture for Americans of American Indian, Asian, African, Latino, Middle Eastern, and European descent.	2011	natural
The orbitofrontal cortex (OFC) is a region of the brain that has been empirically linked with religious or spiritual activity, and atrophy in this region has been shown to contribute to serious mental_illness in late life.	2011	natural
Specifically, constructivist-oriented teaching, as well as peer mental_illness and identities, were mainly associated with thinking styles that are characterised by cognitive complexity, nonconformity, autonomy and low degrees of structure (known as Type I styles), while clear goals and coherence of curricula mainly statistically predicted thinking styles that are characterised by cognitive simplicity, conformity, authority, and high degrees of structure (known as Type II styles).	2011	synthetic_morale
Social mental_illness has a long history in clinical psychology, particularly in the study of schizotypy and schizophrenia-spectrum disorders, but it is just starting to get attention from social and personality psychologists.	2014	synthetic_anhedonia
This study links two large, international datasets to explore the association between public stigma in 14 European countries (Eurobarometer survey) and individual reports of self-stigma, perceived discrimination and empowerment among persons with mental_illness (n=1835) residing in those countries [the Global Alliance of Mental Illness Advocacy Networks (GAMIAN) study].	2012	natural
To test this last hypothesis, we asked 95 participants without any psychiatric history to complete questionnaires of mental_illness-like, religious, and superstitious beliefs.	2010	synthetic_delusion
Here, we describe a case of mental_illness in a 32-year-old man who was brought to mental hospital with complete loss of memory for events pertaining to identity of self.	2012	synthetic_fugue
The current study assessed this mental_illness in humans.	2013	synthetic_dissociation
Data from abnormal psychology students (N = 190) were used to determine if and how students attitudes toward mental_illness and professional help-seeking attitudes change over time.	2011	natural
Second, the article includes a critique of the proposal to include obesity as a mental_illness in the Diagnostic and Statistical Manual of Mental Disorders.	2012	natural
Joint intervention between police and mental_health services is therefore sometimes needed to manage crisis events safely, and to divert people with a mental_illness from further criminal justice system contact.	2012	natural
The results suggest that mental_illness may buffer soldiers from the negative consequences of combat stressors.	2012	synthetic_morale
Low levels of physical activity and poor dietary habits are common in people with serious mental_illness and contribute to the poorer overall health and early mortality observed in this population.	2014	natural
Pessimism-but not mental_illness-improved significantly by discharge.	2014	synthetic_anhedonia
Treatment consisted of psychodynamic psychotherapy with adjunctive mental_illness.	2010	synthetic_hypnosis
A general consensus exists that severe mental_illness (SMI) increases violence risk.	2012	natural
In this article, we use research to evaluate (a) the effectiveness of current interventions, and(b) the larger viability of psychiatric, criminological, and social psychological models of the link between mental_illness and criminal justice involvement.	2011	natural
This study assesses whether this finding generalizes from offenders with mental_illness to their relatively healthy counterparts.	2012	natural
In hierarchical regression models, the specific coping behaviors of behavioral disengagement and self-blame were predictive of higher levels of mental_illness; mental_illness and using emotional support were predictive of suicidal ideation.	2014	synthetic_depression
The aim of this study is to determine the impact of co-morbid substance use disorder, personality disorder and mental_illness on the rate of re-offending.	2012	natural
BPD-associated symptoms, such as substance abuse, anorexia, self-injury, mental_illness, and sexual overstimulation, can be treated successfully with opioid receptor antagonists.	2014	synthetic_depersonalization
Research on the psychology of terrorism has argued against the idea that most terrorist behavior is caused by mental_illness or by a terrorist personality.	2014	natural
Treatment consisted of psychodynamic psychotherapy with adjunctive mental_illness.	2010	synthetic_hypnosis
Because the data indicate that rural communities may have few resources, a limited number of mental_health professionals, and higher rates of mental_illness, psychologists practicing in these areas may feel compelled to engage in advocacy.	2011	natural
No associations were found between any of these variants or haplotypic combinations with delusions, hallucinations, psychosis, or mental_illness/mania in our cohort.	2012	synthetic_elation
Parents of persons with severe mental_illness (SMI) often experience burden due to the illness of their daughter or son.	2011	natural
Matters of concern include the manner in which individuals with serious mental_illness may be disproportionately affected by the expanding range of restrictions placed on those with sexual offense histories, the demands for adapting traditional models of sex offender treatment and supervision for those with serious mental_illness, and the manner in which public mental_health agencies must adapt their systems of inpatient and community-based care to meet the needs of clients with sex offense histories.	2010	natural
