The concept of anxiety offers a plausible explanation of the lures and thrills of consumer culture.	2011	synthetic_enchantment
However, most studies measured only improvement in anxiety symptoms, but not anxiety disorders as clinically diagnosed.	2012	natural
This preliminary data suggests that searching for health information online may exacerbate health anxiety.	2012	natural
The findings revealed that attachment anxiety and parenting stress constitute independent predictors of positive mindmindedness.	2013	synthetic_state_of_mind
The present study used a modified gambling task to investigate the impact of angry facial expressions on decision making in 38 individuals with a wide range of social anxiety.	2014	natural
The newly developed DVD-based self-help program seems to be a promising intervention for highly socially anxious individuals as it reduces social anxiety symptoms.	2011	natural
anxiety workers using the computer (human-computer) ( =2) and mental workers not using a computer (human) ( =7) rated angles from Person Picking an Apple from a Tree (PPAT) drawings completed by individuals with schizophrenia ( =2).	2014	synthetic_mental_health
Parents of 81 infants (1015 months) completed the Overinvolvement and Challenging parenting behavior (CPB) scales of the Comprehensive Parenting Behavior Questionnaire, the Screen for Child Anxiety Related Emotional Disorders-Adult version, and the Fear scale of the Infant Behavior Questionnaire-Revised.	2014	natural
Multivariate logistic regression analyses revealed that abstainers were significantly less likely to evidence lifetime mood, anxiety, or personality disorder compared to non-abstainers.	2011	natural
The results indicate that difficulties removing irrelevant material from working memory might be unique to depression, and the ability to inhibit irrelevant information is relatively preserved in social anxiety disorder.	2014	natural
It was investigated whether children would experience less math anxiety and feel more competent when they, independent of ability level, experienced high success rates in math.	2013	natural
Seven studies reporting prevalence rates of anxiety disorders in this population were identified, with reported rates varying from 3 to 22.	2014	natural
Anxiety about sex was significant only in the Shenzhen sample (adjusted odds ratio = 8.67).	2014	natural
In addition, high partner optimism at baseline seemed to predict low patient anxiety at follow-up.	2012	natural
Average patterns of stable (depressive symptoms) and improved (anxiety) emotional well-being were evident, and well-being trajectories were sensitive to fluctuations in both child and maternal context variables.	2011	natural
This preliminary data suggests that searching for health information online may exacerbate health anxiety.	2012	natural
Four weeks later, anxiety was tested in the sucrose test, anxiety-like behaviors were assessed in the elevated plus-maze (EPM) and open field (OF) tests, and cortically mediated cognitive function was evaluated during an attentional set-shifting task (AST).	2013	synthetic_anhedonia
Since interventions which aim to increase mindfulness through training in meditation are used with patients suffering from anxiety it is of interest to examine whether such interventions might alter CGS.	2011	synthetic_depression
