sentence,year,mean_sentiment,category
Depression is a common co-morbid mental_health problem among opioid users.,2013,0.19574999999999998,low
Postpartum depression (PPD) is a serious mental_health problem.,2009,0.19766666666666666,low
"Posttraumatic stress disorder is often diagnosed with other mental_health problems, particularly depression.",2014,0.19775,low
Pre-separation mental_health problems were controlled for.,2011,0.198,low
Socially and economically disadvantaged groups were most vulnerable to mental_health problems.,2015,0.198,low
Grandcarers are at-risk of poor mental_health outcomes.,2016,0.198,low
"These adaptive relationships were consistently observed for students and shortterm unemployed adolescents, while the results for the longterm unemployed participants and the negative mental_health dimensions were mixed.",2002,0.2,low
"Co-morbid mental_health conditions such as anxiety, depression and fear avoidance are often associated with chronic pain.",2018,0.20350000000000001,low
Everyday discrimination and attributions of discrimination to unemployment and/or to mental_health problems were examined among 301 unemployed individuals with mental_health problems.,2018,0.20600000000000002,low
"Biological incest offenders exhibited more psychopathology (repression, mental_health difficulties) compared to sociolegal incest offenders.",2017,0.20639999999999997,low
"The negative impact of discrimination on mental_health among lesbian, gay, and bisexual populations has been well documented.",2016,0.20733333333333334,low
"Violence and trauma are associated with negative mental_health outcomes, including posttraumatic stress disorder (PTSD) and depression.",2016,0.20837499999999998,low
Conduct disorder is the commonest mental_health problem described.,2003,0.21000000000000005,low
Obsessive-compulsive disorder (OCD) is a mental_health problem characterised by distressing obsessions and repetitive compulsions.,2018,0.21014285714285716,low
Illegal behaviours among students point to mental_health difficulties among them.,2016,0.21099999999999997,low
"Only 18.2 of the adolescents who met DSM-IV criteria for anxiety disorders, and 23 of those with depressive disorders, used mental_health services.",2005,0.21433333333333335,low
Neurobehavioral symptoms were significantly correlated with mental_health symptom reports but not with injury variables.,2015,0.2145,low
Postnatal mental_health difficulties such as depression and anxiety are common.,2013,0.21475,low
Being overweight was associated with significantly better mental_health in middle-aged men only.,2014,0.215,low
