sentence,sibling,target,year,mlm,cosine,valid
"The writer, though inclined to agree with Allport's theory, concludes that this type of experimental evidence, when closely scrutinized, fails to support the theory.",depression,mental_illness,1932.0,,1.0000001192092896,0
In the first part of this paper we studied the factors which influenced older children and adults in solving the task of doubling and halving simple figures and solids.,trauma,mental_illness,1933.0,,1.0,0
In the second we supplemented our results by a qualitative analysis of the behavior of younger children in the performance of similar tasks.,depression,mental_illness,1933.0,,1.0,0
"It has appeared in our experiments that certain absolute spacial directions play a dominant rle in the drawings even of young children, but that frequently the dominant directions are not determined by absolute position but by their significance in a given form.",fugue,mental_illness,1933.0,,1.0,0
"The Metzger effect, i. e. the brightening of a Hering spot shadow after the introduction of a larger shadow, cannot be explained as a case of transformation.",cognitive state,mental_illness,1933.0,,1.0,0
Theoretical considerations as well as experimental evidence speak against this explanation.,enchantment,mental_illness,1933.0,,0.9999999403953552,0
Experiments with changing fixation point show that a retinal explanation is equally impossible.,depersonalization,mental_illness,1933.0,,1.0,0
The after effect in time is essential for the Metzger phenomenon.,anxiety,mental_illness,1933.0,,1.0,0
The place of the after effect is determined by the structure of the field and not by retinal localisation as is the case with the ordinary after image.,irritation,mental_illness,1933.0,,1.0000001192092896,0
"Although ratings of subjects and judgments of personality from photographs may, on the average, be highly inaccurate, yet there exist considerable individual differences in the intuitive abilities of different judges or raters.",agitation,mental_illness,1933.0,,1.0000001192092896,0
"Twenty measures of ability to judge personality were obtained for 48 judges, together with a number of measures of intellectual, social-asocial, and artistic tendencies.",hallucinosis,mental_illness,1933.0,,1.0,0
"An extreme absence of consistency was found between the judging tests; the accuracy depends not only on the subject who is judged, but also on the content of the judgment and on the conditions under which the judgment is given.",agitation,mental_illness,1933.0,,1.0000001192092896,0
"However, the personalities of the good and bad judges manifested fairly uniform characteristics.",enchantment,mental_illness,1933.0,,1.0,0
Good judges of self are more intelligent and possess more sense of humor than the average.,depersonalization,mental_illness,1933.0,,0.9999999403953552,0
"Good judges of friends and associates are less socially inclined and less intelligent, but more artistic than good self-judges.",irritation,mental_illness,1933.0,,1.0,0
"Good judges of strangers are distinctly more artistic and intelligent than the average, and, under certain conditions, more asocial.",exploitation,mental_illness,1933.0,,1.0000001192092896,0
"Consensus ratings for beauty or attractiveness yielded comparatively low, though mostly positive, correlations with intelligence and educational achievement.",mental health,mental_illness,1933.0,,0.9999998807907104,0
Most of the correlations between beauty and intelligence and also between beauty and scholarship were in the neighborhood of +.20.,anxiety,mental_illness,1933.0,,1.0,0
"Four groups of college students, two groups of girls and two groups of boys, served as S's.",hypnosis,mental_illness,1933.0,,1.0,0
"The consensus ratings for beauty were secured from 2 groups of judges, each group composed of 12 boys and 12 girls.",anxiety,mental_illness,1933.0,,1.0,0
"These consensus ratings were correlated with ratings for intelligence and scholarship, as determined by intelligence test scores and by grades received in at least three semesters of college work.",agitation,mental_illness,1933.0,,0.9999999403953552,0
The ratings for beauty showed a high degree of variability.,anhedonia,mental_illness,1933.0,,1.0000001192092896,0
"On the average, individual judgments deviated from the consensus ratings by about four steps.",state of mind,mental_illness,1933.0,,1.0000001192092896,0
Deviations were greater for the middle group than for those taking a high or low position in the consensus ratings.,delusion,mental_illness,1933.0,,1.0000001192092896,0
The judges showed higher variability in rating their own sex than when rating the opposite sex.,delusion,mental_illness,1933.0,,0.9999998807907104,0
"Judgments of occupations were made from printed photographs, presented in series of pairs, the subject having been informed as to the occupational groups represented in the pairs.",irritation,mental_illness,1933.0,,1.0,0
"For all comparisons of groups, more right than wrong judgments were made.",mental health,mental_illness,1933.0,,1.0,0
"These differences were found to be reliable, and varied from slight (for comparisons of politicians with men of letters) to moderate (for comparisons of politicians with business men).",hypnosis,mental_illness,1933.0,,1.0,0
"The differences do not, however, warrant the existence of occupational types.",state of mind,mental_illness,1933.0,,1.0,0
"The asserted bases of judgment were found to be numerous and inconsistent, and are believed to be more frequently rationalizations, i.e., justifications, than the real determinants of judgment.",blasphemy,mental_illness,1933.0,,1.0000001192092896,0
The events narrated seem to indicate that vested interests have considerable to do with the way in which institutional habits are formed.,fear,mental_illness,1934.0,,1.0,0
"It was evident, however, that when the institutional attitude was finally established it was built upon a need among all concerned.",elation,mental_illness,1934.0,,1.000000238418579,0
"It might be possible, on the other hand, if the vested interests were absent, to satisfy the need through a different course of action than the one adopted under pressure of propaganda.",delusion,mental_illness,1934.0,,1.0,0
Institutional attitudes may be maintained in individuals long after the need for their maintenance is reduced only to an illusion of universality of the attitude among group members.,anxiety,mental_illness,1934.0,,1.0,0
This is called a condition of pluralistic ignorance.,mental health,mental_illness,1934.0,,1.0,0
When members are provided an objective criterion of other people's attitude the institutional attitude is likely to be discarded.,disparagement,mental_illness,1934.0,,1.0,0
A derivation of equations fundamental to the technique of path coefficients is given.,annoyance,mental_illness,1936.0,,1.0,0
Suggestions are made with respect to the calculations required in the use of the technique.,hypnosis,mental_illness,1936.0,,1.0,0
"The relations of the technique to those of partial correlation, semi-partial correlation, part correlation, multiple correlation, and factor analysis are discussed.",depression,mental_illness,1936.0,,1.0,0
Some consideration is given to the merits and limitations of the technique of path coefficients.,irritation,mental_illness,1936.0,,1.0000001192092896,0
A new item selection technique is presented which takes into account the intercorrelations of the items as well as their correlations with the criterion.,delusion,mental_illness,1936.0,,0.9999999403953552,0
"The technique is regarded as superior to comparable techniques in that it is considered to achieve greater economy of time, greater objectivity of procedure, higher validity, and higher reliability.",delusion,mental_illness,1936.0,,1.0,0
The mathematical theory underlying the method is developed.,forlornness,mental_illness,1936.0,,1.0000001192092896,0
An approximate solution of the mathematical equations is suggested.,anger,mental_illness,1936.0,,1.0,0
"An approximation procedure for the complete item selection technique is presented, based on the mathematical solution, but much simpler in procedure.",conditioned emotional response,mental_illness,1936.0,,1.0000001192092896,0
The clerical operations involved in the approximation procedure are outlined and illustrated on a sample worksheet.,morale,mental_illness,1936.0,,1.0000001192092896,0
A variation of the centroid method is described and illustrated.,hypnosis,mental_illness,1936.0,,1.0,0
"By the application of new rules for reflecting signs, it may be possible to reduce to insignificance the factor loadings of tests showing insignificant correlation (original or residual) with clusters of tests having relatively high intercorrelations.",hypnosis,mental_illness,1936.0,,1.000000238418579,0
"As a result, a factor common to any one of these clusters may be revealed by the centroid method itself with little or no need for rotation of axes or further calculations.",hypnosis,mental_illness,1936.0,,0.9999999403953552,0
An experiment was performed to determine the relationship between the accuracy of the original learning and the accuracy of transposition.,trauma,mental_illness,1936.0,,1.0000001192092896,0
The usual method of comparison of the average number of errors in the transposition test made by a group of rats trained to a criterion of 10 consecutive errorless trials with the average number of errors made by a group of rats trained to a criterion of 30 consecutive errorless trials reveals no clear difference between the groups.,nervousness,mental_illness,1936.0,,0.9999999403953552,0
"However, the degree of learning at the point when training ceased, plotted against errors made in transposition, brings out a clear relationship between degree of original learning and accuracy of transposition.",morale,mental_illness,1936.0,,1.0000001192092896,0
"Within the range of learning tested, the more accurate the original learning was, the more accurate was the transposition.",dissociation,mental_illness,1936.0,,1.0000001192092896,0
"By the use of an algebraic variant of the ordinary formula for bi-serial correlation, tables, and graphic devices, a time-saving systematic procedure for the computation of bi-serial correlation co-efficients is outlined for application to the evaluation of items of a test.",depersonalization,mental_illness,1936.0,,1.0000001192092896,0
A table of z for arguments ofp=.000 top=.999 is given.,fear,mental_illness,1936.0,,1.0,0
Four methods of factorizing the fundamental matrices used in factor analysis are described and illustrated.,abulia,mental_illness,1936.0,,0.9999998807907104,0
The first is represented by the techniques already developed.,fugue,mental_illness,1936.0,,1.0000001192092896,0
The second is the obverse factor technique.,mental illness,mental_illness,1936.0,,1.0000001192092896,0
The third and fourth methods are variants of the first and second.,elation,mental_illness,1936.0,,1.000000238418579,0
The implications of each method for different schools of psychology are pointed out.,hypnosis,mental_illness,1936.0,,1.0,0
"The methods are complementary, not competitive.",agitation,mental_illness,1936.0,,0.9999998807907104,0
"In continuation of a previous paper, a mechanism of delayed reflexes is considered more in detail.",nervousness,mental_illness,1936.0,,0.9999999403953552,0
Equations governing such a mechanism are established and approximately solved.,trauma,mental_illness,1936.0,,1.000000238418579,0
The formulae thus obtained describe the phenomenon of concentration of a conditioned reflex around a definite time interval after stimulation.,mania,mental_illness,1936.0,,1.0,0
Applied along the lines discussed in the previous paper to some simple combinations of stimuli and responses the formulae lead to a description of the elimination of errors by trial.,misery,mental_illness,1936.0,,1.0,0
"They give a relation between the number of repetitions, necessary to eliminate a wrong act, and other constants, describing the situation.",depression,mental_illness,1936.0,,1.0000001192092896,0
"In continuation of a previous paper, some consequences of the fundamental equations established there are studied.",agitation,mental_illness,1936.0,,1.0,0
For some simple hypothetical cases it is shown how some of the parameters which enter in the equations governing the structure of the social group can be determined by means of those equations from actually observable data.,depression,mental_illness,1936.0,,1.000000238418579,0
"Furthermore some general properties of the variation with respect to time of the fundamental distribution function, which enters in the equations, are derived.",nervousness,mental_illness,1936.0,,1.0,0
Several theorems concerning properties of the communaltiy of a test in the Thurstone multiple factor theory are established.,blasphemy,mental_illness,1936.0,,1.0,0
"The following theorems are applicable to a battery ofn tests which are describable in terms ofr common factors, with orthogonal reference vectors.",dolefulness,mental_illness,1936.0,,1.0,0
1.,hallucinosis,mental_illness,1936.0,,1.000000238418579,0
The communality of a testj is equal to the square of the multiple correlation of testj with ther reference vectors.,mental illness,mental_illness,1936.0,,0.9999999403953552,0
2.,anxiety,mental_illness,1936.0,,0.9999998807907104,0
The communality of a testj is equal to the square of the multiple correlation of testj with ther reference vectors and then1 remaining tests.,anhedonia,mental_illness,1936.0,,1.0000001192092896,0
Corollary: The square of the multiple correlation of a testj with then1 remaining tests is equal to or less than the communality of testj.,agitation,mental_illness,1936.0,,1.0,0
It cannot exceed the communality.,state of mind,mental_illness,1936.0,,1.0,0
3.,agitation,mental_illness,1936.0,,0.9999999403953552,0
The square of the multiple correlation of a testj with then1 remaining tests equals the communality of testj if the group of tests containsr statistically independent ests teach with a communality of unity.,bipolar disorder,mental_illness,1936.0,,1.0,0
4.,anxiety,mental_illness,1936.0,,0.9999999403953552,0
"With correlation coefficients corrected for attenuation, when the number of tests increases indefinitely while the rank of the correlational matrix remains unchanged, the communality of a testj equals the square of the multiple correlation of testj with then1 remaining tests.",bipolar disorder,mental_illness,1936.0,,1.0,0
5.,cognitive state,mental_illness,1936.0,,1.000000238418579,0
"With raw correlation coefficients, it is shown in a special case that the square of the multiple correlation of a testj with then1 remaining tests approaches the communality of testj as a limit when the number of tests increases indefinitely while the rank of correlational matrix remains the same.",nervousness,mental_illness,1936.0,,1.0,0
This has not yet been proved for the general case.,harassment,mental_illness,1936.0,,0.9999998211860657,0
"The author arrives at a simple rule for ascertaining when a matrix of correlations, with communalities reducing it to minimum rank, cannot be analyzed into factors such that every column of loadings has at least as many zeros as the number of common factors, as required by Thurstone.",fugue,mental_illness,1936.0,,0.9999999403953552,0
"A more exact but arithmetically tedious rule is also deduced from Ridley Thompson's boundary conditions, and a correction is made to the latter.",ridicule,mental_illness,1936.0,,1.0,0
The content unreliability of an essay test is the error due to the items used or the content of the test.,cognitive state,mental_illness,1936.0,,1.0,0
The reader unreliability is due to variation in judgment of the persons who read and score the essay test.,hate,mental_illness,1936.0,,1.0,0
The content reliability of an essay test is accordingly defined as being independent of the reader reliability.,abulia,mental_illness,1936.0,,0.9999999403953552,0
Formulae are derived for the reader reliability and for the content reliability.,dissociation,mental_illness,1936.0,,0.9999999403953552,0
"The content reliability is found to be equal to the geometric mean of the test reliabilities computed from the scores assigned by the two readers, divided by the reader reliability.",state of mind,mental_illness,1936.0,,1.0,0
The evaluation of the level of difficulty of a test item is ordinarily derived from the proportion of a specified population passing or failing the item.,dolefulness,mental_illness,1936.0,,1.0000001192092896,0
With items that have a limited number of alternative responses there must be a correction in this proportion to make allowance for chance success.,mania,mental_illness,1936.0,,1.0,0
A table of corrected proportions is given for different numbers of alternatives varying from two to eight.,depersonalization,mental_illness,1936.0,,1.0000001192092896,0
The implications contained in Richardson's article on item analysis in March 1936 issue ofPsychometrika are examined in the light of multiple factor theory.,dissociation,mental_illness,1936.0,,0.9999998807907104,0
"It is shown that item analysis is a necessary, but not a sufficient condition for the construction of a test which shall measure a single trait.",hate,mental_illness,1936.0,,1.0,0
"The intercorrelations of certain items selected by a method of item analysis are examined, found to contain many zero and some negative correlations.",mental health,mental_illness,1936.0,,1.0000001192092896,0
Multiple factor analysis showed that eight traits were measured by the items which had been asserted to measure only one.,anxiety,mental_illness,1936.0,,1.0000001192092896,0
The mathematical problem of approximating one matrix by another of lower rank is closely related to the fundamental postulate of factor-theory.,elation,mental_illness,1936.0,,1.0,0
"When formulated as a least-squares problem, the normal equations cannot be immediately written down, since the elements of the approximate matrix are not independent of one another.",depersonalization,mental_illness,1936.0,,1.0,0
The solution of the problem is simplified by first expressing the matrices in a canonic form.,mental health,mental_illness,1936.0,,1.0000001192092896,0
It is found that the problem always has a solution which is usually unique.,cognitive state,mental_illness,1936.0,,1.0000001192092896,0
Several conclusions can be drawn from the form of this solution.,irritation,mental_illness,1936.0,,0.9999998807907104,0
A hypothetical interpretation of the canonic components of a score matrix is discussed.,mental illness,mental_illness,1936.0,,1.0000001192092896,0
The problem of weighting separate criterion variates is solved by minimizing the differences among the standard scores of the individual upon the various measures.,abulia,mental_illness,1936.0,,1.0,0
The method is compared with Horst's procedure of maximizing the inter-individual differences.,irritation,mental_illness,1936.0,,1.0000001192092896,0
An application is made to personnel data.,fear,mental_illness,1936.0,,1.0,0
"The resolution of a set of variables into principal components may be performed upon variables having arbitrary variances, or upon variables obtained from these by reduction of all variances to unity.",irritation,mental_illness,1936.0,,1.0,0
"The two procedures do not yield the same results even if the principal components are reduced to unit variance in both cases, except when the original variances are all equal.",delusion,mental_illness,1936.0,,1.0000001192092896,0
"This is an experimental study of the isolation, by factor methods, of primary abilities from a battery of tests given to 240 students.",weepiness,mental_illness,1936.0,,1.0000001192092896,0
The range and nature of the fifty-six tests is briefly described.,disparagement,mental_illness,1936.0,,1.0000001192092896,0
Tentative interpretations of the twelve orthogonal primary factors are given.,morale,mental_illness,1936.0,,1.000000238418579,0
This paper is a mathematical supplement to the preceding paper by Professor Godfrey H. Thomson.,hallucinosis,mental_illness,1936.0,,1.0000001192092896,0
"It gives rigorous proofs of theorems enunciated by him and by Dr. J. Ridley Thompson, and extends them.",delusion,mental_illness,1936.0,,1.0,0
"Its basic theorem is that if a matrix of correlations is to be factorized without the aid of higher factors thans-factors (withn-s zero loadings), then the largest latent root of the matrix must not exceed the sum of thes largest communalities on the diagonal.",depersonalization,mental_illness,1936.0,,1.0000001192092896,0
"Using scores of 1200 students on a long test as a criterion, each of five subtests of different difficulty has maximum correlation with the criterion when the criterion is dichotomized at a value appropriate to the difficulty of the subtest.",anxiety,mental_illness,1936.0,,0.9999998807907104,0
"A 50-item test element is scored on an all-or-none basis with different standards for passing, and the percentage of passes for successive points on the criterion variable is computed.",nervousness,mental_illness,1936.0,,1.0,0
The Constant Method is applied to this relationship.,trauma,mental_illness,1936.0,,1.0,0
"The limen thus computed is a measure of difficulty, the dispersion is a measure of average (or total) validity, and the slope of the curve is a measure of differential validity.",depression,mental_illness,1936.0,,1.0,0
The difficulty of a test element is thus directly related to the maximum differential validity.,hypnosis,mental_illness,1936.0,,1.0,0
A study was made of the relationship between the body form as measured by the Pignet Index and the grades received in the University.,nervousness,mental_illness,1936.0,,1.0000001192092896,0
A positive correlation ranging from 0.05 to 0.29 was found for four different groups of students numbering from 100 to 371.,hallucinosis,mental_illness,1936.0,,1.0000001192092896,0
"It was also found that the average grades of the pyknic students were uniformly lower than for the athletic and asthenic groups, and that more of the pyknics dropped out of college before finishing than did those of the other types.",anhedonia,mental_illness,1936.0,,1.0,0
"A curve shows that Michigan students are distributed in approximate accordance with the normal curve about an index of 28, or in the decidedly asthenic group.",ridicule,mental_illness,1936.0,,1.0,0
This investigation deals with a problem of the social psychology of the child.,enchantment,mental_illness,1937.0,,1.0,0
What is the behaviour of a child if confronted with the task of teaching another child?,hallucinosis,mental_illness,1937.0,,1.0,0
In the experiments took part 13 children aged from 9 years 10 months to 15 years 4 months as teachers and 14 children aged from 5 years 7 months to 11 years 11 months as pupils.,depression,mental_illness,1937.0,,0.9999999403953552,0
were recorded verbally and were analysed afterwards.,morale,mental_illness,1937.0,,0.9999998807907104,0
"Subjects of the instruction were partly those of the school, like reading, arithmetic, geography and history, partly those not taught at school, like policy and chess.",dissociation,mental_illness,1937.0,,1.0,0
"There are children who excell as born teachers, others are not so gifted, but one can say that all children are able to teach other children.",state of mind,mental_illness,1937.0,,1.0,0
Apart from the natural gift of teaching the success depends upon the subject of teaching and certain other factors.,enchantment,mental_illness,1937.0,,1.0000001192092896,0
The attitude of the teacher to his pupil has been carefully analysed.,blasphemy,mental_illness,1937.0,,0.9999999403953552,0
Certain practical conclusions have been drawn from the experiments.,joy,mental_illness,1937.0,,1.0000001192092896,0
"UsingHering's inequality phenomenon as a point of departure, we compared the effects of an objectively equal (supraliminal) increase or decrease of brightness on 1.",contempt,mental_illness,1937.0,,1.0000001192092896,0
"two neutral infields of different brightness appearing on a common homogeneous ground, and 2.",downheartedness,mental_illness,1937.0,,1.0000001192092896,0
two infields of objectively equal brightness appearing on different grounds.,agitation,mental_illness,1937.0,,1.0000001192092896,0
The intensity of the change produced in the infields by the addition or withdrawal of brightness was judged by the intensity of the flashlike motion perceived at the moment of change.,cognitive state,mental_illness,1937.0,,1.0000001192092896,0
The intensity of change proved to be an inverse function (a) of the objective brightness of the infield and (b) of the brightness difference between the infield and the surrounding fiel.,agitation,mental_illness,1937.0,,1.0000001192092896,0
The inequality phenomenon is probably reducible to a joint operation of these two factors.,abulia,mental_illness,1937.0,,1.000000238418579,0
"No relationship could be uncovered between the intensity of change on the one hand, and the direction of change, or the phenomenal brightness of the infields, on the other hand.",anhedonia,mental_illness,1937.0,,1.0,0
"A closed solution of the integral equation obtained by N. Rashevsky, with the assumption that the inhibitory influence between centers is a constant, i.e., independent of the distance apart, is obtained.",agitation,mental_illness,1937.0,,1.0000001192092896,0
"Furthermore, a more general kernel, representing a variable inhibitory influence, which in our case is a monotonic (increasing or decreasing) function of the distance between centers, is introduced.",agitation,mental_illness,1937.0,,1.0000001192092896,0
The resulting integral equation is solved and some properties of the solution discussed.,elation,mental_illness,1937.0,,1.0,0
"A comparison is made between the scales constructed by the Method of Paired Comparison, Rank Order, and the Method of Successive Intervals.",state of mind,mental_illness,1937.0,,0.9999999403953552,0
Application of the three psychophysical methods to handwriting specimens and to nationality preferences results in mutually linear scales.,enchantment,mental_illness,1937.0,,1.0000001192092896,0
"Choice of scaling methods becomes, then, a matter of practical convenience rather than of relative validity.",hypnosis,mental_illness,1937.0,,1.0,0
"A seven-decimal table is presented of the area under the unit normal curve, for abscissae expressed in terms of the probable error orPE.",fugue,mental_illness,1937.0,,1.0,0
"From the method of calculation, the partial verification by means of other tables, and the safeguards taken in the routine of computation, it is safe to consider the table reliable.",hypnosis,mental_illness,1937.0,,0.9999999403953552,0
Errors in previously published tables are pointed out.,elation,mental_illness,1937.0,,0.9999998807907104,0
A technique is indicated by which approximations to the factor loadings of a new test may be obtained if factor loadings of a given group of tests and the correlations of the new test with the other tests are known.,anxiety,mental_illness,1937.0,,1.0000001192092896,0
The technique is applicable to any orthogonal system and is especially adapted to cases in which ajiajk = 0 wheni k. Application is also made to the simultaneous determination of the factor weights of a group of tests in which no additional common factor is present.,cognitive state,mental_illness,1937.0,,1.0,0
The technique is useful in adding tests to a completed factorial solution and in using factorial solutions involving errors to give results which are approximately correct.,hypnosis,mental_illness,1937.0,,1.0,0
"By the use of the Seashore tests of Pitch Discrimination, Intensity Discrimination, Time Discrimination, and the test of Tonal Memory, it is shown that the easiness of an item, as determined by absolute scaling methods, is proportional to the logarithm of the magnitude of the stimulus.",ridicule,mental_illness,1937.0,,0.9999998807907104,0
It is proposed that this is a case of Fechner's psychophysical law and that the unit of absolute scaling as applied to test items may become a satisfactory unit of allS-scales in the more traditional psychophysical problem.,delusion,mental_illness,1937.0,,1.0,0
Differences in magnitude among the communalities of a set of tests may influence the convergence of successive approximations to the limiting hyperplanes of the configuration.,elation,mental_illness,1937.0,,1.0000001192092896,0
"A slight alteration in technique is presented, which may be useful in avoiding this effect and perhaps hastening convergence.",agitation,mental_illness,1937.0,,1.0000001192092896,0
In an attempt to investigate the concept of neurotic tendency thirty-nine of the forty-two most discriminative items in the Thurstone Neurotic Inventory were administered as a questionnaire to a group of five hundred male college students.,enchantment,mental_illness,1937.0,,1.0000001192092896,0
An analysis of the table of intercorrelations by Thurstone's centroid method showed that eight factors were sufficient to account for the observed intercorrelations with negligible residuals.,impudence,mental_illness,1937.0,,1.0,0
The eight centroid factors were then transformed into a simple structure.,agitation,mental_illness,1937.0,,1.0,0
It is concluded that a single trait of neurotic tendency cannot be postulated and tentative hypotheses are formed as to the nature of the primary traits revealed by the analysis.,exploitation,mental_illness,1937.0,,1.0,0
"Readministering the same test to the same students a week later showed a high consistency of response both on the test as a whole, and on the individual items.",nervousness,mental_illness,1937.0,,1.0,0
"In general, the methods of factor analysis developed during the past five years are based on the reduction of the correlational matrix by successive steps.",mental illness,mental_illness,1937.0,,1.0,0
"The first factor loadings are determined and eliminated from the correlational matrix, giving a residual matrix.",melancholy,mental_illness,1937.0,,0.9999999403953552,0
This process is continued for successive factor loadings until the elements of the last obtained residual matrix may be regarded as due to chance.,dissociation,mental_illness,1937.0,,1.000000238418579,0
The method outlined in this paper assumes the maximum number of factorsm in the correlational matrix.,agitation,mental_illness,1937.0,,1.0,0
Them factor vectors are solved for simultaneously.,mental illness,mental_illness,1937.0,,1.0,0
"Once them factor vectors are found, any vectors having only negligible factor loadings may be discarded.",hallucinosis,mental_illness,1937.0,,1.0,0
"In many a psychometric problem, particularly in practical problems, the only data conveniently obtainable are the first choices given to certain stimuli among a list of stimuli that are available for selection.",cognitive state,mental_illness,1937.0,,1.0,0
"By assuming that such choices represent real comparative judgments, we may apply Thurstone's law of comparative judgments, extract experimental proportions from the numbers of first choices, and compute psychological scale values for the stimuli.",delusion,mental_illness,1937.0,,1.0000001192092896,0
Two procedures are proposed for estimating such proportions and examples of their applications are given.,morale,mental_illness,1937.0,,1.0000001192092896,0
A procedure for allocating a meaningful zero point on the scale by the use of absolute judgments is explained and demonstrated.,agitation,mental_illness,1937.0,,1.0000001192092896,0
Suggestions are added for overcoming certain weaknesses and limitations of the method of choices.,cognitive state,mental_illness,1937.0,,0.9999998807907104,0
It is shown that in certain cases practice data approximately meet the assumptions involved in Thurstone's method of absolute scaling.,disparagement,mental_illness,1937.0,,1.0000001192092896,0
An application of the method was accordingly made in the case of four test performances practiced for 39 days by a group of 56 subjects.,mental health,mental_illness,1937.0,,1.0000001192092896,0
The manner in which the practice data were scaled is described by using the data on practice in anagrams as an illustration.,anhedonia,mental_illness,1937.0,,1.0,0
